Frame#,Time,Perspiration
0,0,0.004525007
2,0.1193221,0.005470271
3,0.2542475,0.005383797
4,0.3919961,0.005103813
5,0.5230096,0.005074276
6,0.6543648,0.004114328
7,0.7927378,0.005917513
8,0.9308974,0.004840504
9,1.055235,0.005917441
9,1.055235,0.005917441
10,1.192606,0.005016537
11,1.320464,0.004943523
12,1.455943,0.005466633
13,1.597326,0.004562957
14,1.728572,0.004383063
15,1.857609,0.004811379
17,1.99197,0.004811379
18,2.12834,0.004985512
19,2.256296,0.004155236
20,2.39668,0.005370316
22,2.529979,0.003704112
23,2.660076,0.006578903
24,2.791593,0.004934249
25,2.93047,0.006310386
26,3.056322,0.005584139
27,3.193447,0.008460071
28,3.326307,0.00639994
29,3.458246,0.007140922
30,3.592609,0.006649985
31,3.724562,0.004201391
32,3.857737,0.005790027
33,3.9921,0.005724247
34,4.13368,0.006204651
35,4.262244,0.007248477
36,4.394865,0.00471231
37,4.534314,0.00473638
38,4.658596,0.003896229
39,4.791461,0.005757247
40,4.935146,0.005679421
41,5.067505,0.004998725
42,5.191185,0.00470065
43,5.325661,0.005511108
44,5.46775,0.00529236
46,5.594478,0.006290419
47,5.726335,0.005824406
48,5.859496,0.005312036
49,5.99141,0.004565033
50,6.126781,0.004505729
51,6.261744,0.005129062
52,6.393603,0.005235282
53,6.527003,0.00571137
54,6.66993,0.006802526
55,6.794772,0.005320909
56,6.927521,0.006268105
57,7.060882,0.005028599
58,7.235868,0.007014014
59,7.326723,0.004683675
60,7.45969,0.004838148
61,7.594135,0.005841422
62,7.735015,0.005924032
63,7.862065,0.004554686
64,7.994424,0.006584184
65,8.127512,0.007217272
66,8.261874,0.005299257
67,8.395235,0.006631935
68,8.529599,0.006527995
69,8.661956,0.004971814
70,8.808352,0.005761889
71,8.928677,0.00553142
72,9.061842,0.006605847
73,9.195202,0.005674177
74,9.32955,0.008302202
75,9.462909,0.005302582
76,9.597273,0.005166874
77,9.728627,0.005490055
78,9.861986,0.004871376
