Time,Sensor1,Sensor2,Sensor3,Sensor4
2.682,0,0,0,0,
2.683,0,0,0,0,
2.686,0,0,0,0,
2.693,0,0,0,0,
2.727,0,0,0,0,
2.727,0,0,0,0,
2.728,0,0,0,0,
2.737,0,0,0,0,
2.769,0,0,0,0,
2.769,0,0,0,0,
2.769,0,0,0,0,
2.769,0,0,0,0,
2.802,0,0,0,0,
2.803,0,0,0,0,
2.804,0,0,0,0,
2.804,0,0,0,0,
2.836,0,0,0,0,
2.837,0,0,0,0,
2.837,0,0,0,0,
2.87,0,0,0,0,
2.87,0,0,0,0,
2.871,0,0,0,0,
2.871,0,0,0,00,
2.904,0,0,0,0,
2.905,0,0,0,0,
2.905,0,0,0,0,
2.912,0,0,0,0,
2.917,0,0,0,0,
2.948,0,0,0,0,
2.949,0,0,0,0,
2.949,0,0,0,0,
2.984,0,0,0,0,
2.985,0,0,0,0,
2.985,0,0,0,0,
2.985,0,0,0,0,
2.99,0,0,0,0,
3.022,0,0,0,0,
3.022,0,0,0,0,
3.023,0,0,0,0,
3.031,0,0,0,0,
3.062,0,0,0,0,
3.063,0,0,0,0,
3.063,0,0,0,0,
3.063,0,0,0,0,
3.095,0,0,0,0,
3.095,0,0,0,0,
3.096,0,0,0,0,
3.103,0,0,0,0,
3.134,0,0,0,0,
3.135,0,0,0,0,
3.135,0,0,0,0,
3.136,0,0,0,0,
3.166,0,0,0,0,
3.167,0,0,0,0,
3.167,0,0,0,0,
3.2,0,0,0,0,
3.2,0,0,0,0,
3.201,0,0,0,0,
3.201,0,0,0,0,
3.227,0,0,0,0,
3.227,0,0,0,0,
3.228,0,0,0,0,
3.259,0,0,0,0,
3.259,0,0,0,0,
3.26,0,0,0,0,
3.291,0,0,0,0,
3.292,0,0,0,0,
3.292,0,0,0,0,
3.293,0,0,0,0,
3.324,0,0,0,0,
3.324,0,0,0,0,
3.324,0,0,0,0,
3.355,0,0,0,0,
3.355,0,0,0,0,
3.356,0,0,0,0,
3.357,0,0,0,0,
3.388,0,0,0,0,
3.389,0,0,0,0,
3.389,0,0,0,0,
3.421,0,0,0,0,
3.421,0,0,0,0,
3.421,0,0,0,0,
3.422,0,0,0,0,
3.455,0,0,0,0,
3.455,0,0,0,0,
3.456,0,0,0,0,
3.463,0,0,0,0,
3.496,0,0,0,0,
3.497,0,0,0,0,
3.497,0,0,0,0,
3.502,0,0,0,0,
3.535,0,0,0,0,
3.536,0,0,0,0,
3.537,0,0,0,0,
3.541,0,0,0,0,
3.574,0,0,0,0,
