Time,Sensor1,Sensor2,Sensor3,Sensor4
6.392,0,0,0,0,
6.393,0,0,0,0,
6.393,0,0,0,0,
6.427,0,0,0,0,
6.427,0,0,0,0,
6.429,0,0,0,0,
6.43,0,0,0,0,
6.462,0,0,0,0,
6.462,0,0,0,0,
6.462,0,0,0,0,
6.463,0,0,0,0,
6.494,0,0,0,0,
6.495,0,0,0,0,
6.523,0,0,0,0,
6.524,0,0,0,0,
6.525,0,0,0,0,
6.525,0,0,0,0,
6.525,0,0,
6.526,0,0,0,9,
6.558,0,0,0,9,
6.558,0,0,0,9,
6.558,0,0,0,9,
6.559,0,0,0,9,
6.59,0,0,0,9,
6.591,0,0,0,9,
6.591,0,0,0,9,
6.592,0,0,0,9,
6.624,0,0,0,9,
6.624,0,0,0,9,
6.624,0,0,0,9,
6.632,0,0,0,9,
6.666,0,0,0,9,
6.666,0,0,0,10,
6.668,0,0,0,10,
6.669,0,0,0,10,
6.674,0,0,0,10,
6.705,0,0,0,15,
6.706,0,0,0,20,
6.708,0,0,0,26,
6.709,0,0,0,26,
6.741,0,0,0,5,
6.741,0,0,0,0,
6.742,0,0,0,0,
6.743,0,0,0,0,
6.775,0,0,0,0,
6.776,0,0,0,0,
6.777,0,0,0,0,
6.781,0,0,0,0,
6.816,0,0,10,0,
6.816,0,0,19,0,
6.816,0,0,38,0,
6.817,0,0,58,0,
6.848,0,0,80,0,
6.849,0,0,96,0,
6.849,0,0,101,0,
6.85,0,0,90,0,
6.881,0,0,71,0,
6.881,0,0,59,0,
6.882,0,0,48,0,
6.888,0,0,48,0,
6.919,0,0,43,0,
6.92,0,0,37,0,
6.921,0,0,37,0,
6.953,0,0,35,0,
6.953,0,0,32,0,
6.954,0,0,26,0,
6.954,0,0,13,0,
6.988,0,0,0,0,
6.988,0,0,0,0,
6.988,0,0,0,0,
6.989,0,0,0,0,
7.019,0,0,0,0,
7.019,0,0,0,0,
7.019,0,0,0,0,
7.02,0,0,0,0,
7.052,0,0,11,0,
7.052,0,0,36,0,
7.053,0,0,49,0,
7.054,0,0,57,0,
7.101,0,0,59,0,
7.101,0,0,61,0,
7.102,0,0,60,0,
7.103,0,0,59,0,
7.104,0,0,54,0,
7.136,0,0,46,0,
7.136,0,0,35,0,
7.138,0,0,24,0,
7.14,0,0,11,0,
7.174,0,0,0,0,
7.175,0,0,0,0,
7.175,0,0,0,0,
7.176,0,0,0,0,
7.209,0,0,0,0,
7.21,0,0,0,0,
7.212,0,0,0,0,
7.216,0,0,0,0,
7.249,0,0,0,0,
7.249,0,0,0,0,
7.25,0,0,0,0,
7.251,0,0,0,0,
7.284,0,0,0,0,
7.286,0,0,0,0,
7.287,0,0,0,0,
7.289,0,0,0,0,
7.32,0,0,0,0,
7.322,0,0,32,0,
7.324,0,0,49,0,
7.326,0,0,44,0,
7.36,0,0,32,0,
7.361,0,0,17,0,
7.364,0,0,0,0,
7.365,0,0,0,0,
7.365,0,0,0,0,
7.398,0,0,0,0,
7.398,0,0,0,0,
7.399,0,0,0,0,
7.431,0,0,0,0,
7.432,0,0,2,0,
7.433,0,0,2,0,
7.433,0,0,1,0,
7.465,0,0,2,0,
7.466,0,0,9,0,
7.467,0,0,12,0,
7.499,0,0,16,0,
7.5,0,0,17,0,
7.501,0,0,20,0,
7.501,0,0,24,0,
7.533,6,0,26,0,
7.534,13,0,31,0,
7.535,36,0,38,0,
7.569,77,0,47,0,
7.569,132,0,52,0,
7.57,182,0,58,0,
7.571,226,0,63,0,
7.604,253,0,65,0,
7.605,261,0,65,0,
7.606,239,0,63,0,
7.607,185,0,54,0,
7.64,132,0,46,0,
7.64,84,0,32,0,
