#PressureID,Time,Sensor1,Sensor2,Sensor3,Sensor4
0,0.4308935,497,446,529,523
1,0.4630302,497,446,529,522
2,0.4788172,497,446,529,523
3,0.4950782,497,446,528,523
4,0.5271638,497,446,528,522
5,0.5431799,497,447,528,522
6,0.5592235,497,446,528,522
7,0.5904767,496,446,528,523
8,0.6065218,497,445,528,522
9,0.6225306,497,446,529,522
10,0.6385395,497,446,529,523
11,0.6709714,497,445,529,523
12,0.6869824,497,445,529,523
13,0.7029931,497,444,530,522
14,0.7350147,497,444,530,523
15,0.7505298,497,444,530,524
16,0.7669054,497,444,530,523
17,0.7988733,498,444,530,522
18,0.814884,497,445,529,522
19,0.8308875,497,444,529,523
20,0.8469313,498,445,530,523
21,0.8788947,498,445,529,522
22,0.8946416,498,444,530,523
23,0.9106179,497,445,530,524
24,0.9425294,497,445,530,523
25,0.9587514,497,445,530,523
26,0.9747334,497,445,529,524
27,1.0066732,497,445,530,524
28,1.0225019,497,445,530,523
29,1.0385162,498,444,529,522
30,1.0547847,498,445,530,523
31,1.0866729,498,444,530,524
32,1.1024699,498,445,530,523
33,1.1188826,498,446,530,523
34,1.1505647,498,444,530,524
35,1.1665413,498,444,530,524
36,1.1826277,498,445,530,523
37,1.2146563,499,445,530,523
38,1.2305726,498,444,530,524
39,1.246774,498,445,530,525
40,1.278585,498,445,530,524
41,1.2945969,498,445,530,523
42,1.310402,498,445,530,524
43,1.3264081,498,445,530,525
44,1.3583021,498,445,530,524
45,1.3742316,498,445,531,523
46,1.3902846,498,445,530,524
47,1.422331,497,444,530,525
48,1.4383248,497,444,530,524
49,1.4543931,498,445,530,523
50,1.486336,498,445,530,524
51,1.5023473,497,445,530,525
52,1.5184775,498,445,530,524
53,1.534493,498,446,530,523
54,1.5664018,498,445,530,524
55,1.5824888,497,445,530,525
56,1.5984277,497,444,530,524
57,1.6302244,497,445,530,523
58,1.6463257,498,445,531,524
59,1.6624502,498,445,530,525
60,1.6942467,498,445,531,524
61,1.710078,498,446,531,524
62,1.7262653,498,445,530,524
63,1.7423155,497,446,530,525
64,1.7742011,498,446,530,524
65,1.7904098,497,445,531,523
66,1.8060727,497,446,531,524
67,1.8380455,497,445,530,525
68,1.8541265,498,445,530,524
69,1.8702214,497,445,531,524
70,1.9021359,497,445,531,524
71,1.9181574,497,445,530,525
72,1.9343224,497,446,530,524
73,1.9503645,497,446,530,523
74,1.9816125,497,445,531,524
75,1.9975839,497,446,530,525
76,2.0138403,497,445,530,524
77,2.0456932,497,446,530,523
78,2.0620435,497,445,530,524
79,2.0777852,497,445,530,525
80,2.1099095,497,445,530,524
81,2.125503,497,445,530,523
82,2.1417597,498,445,530,524
83,2.1738354,498,445,530,525
84,2.1897501,498,445,531,525
85,2.2057983,498,445,530,524
86,2.221812,497,445,530,524
87,2.2539344,498,445,530,525
88,2.2697459,498,445,531,524
89,2.2857608,498,445,530,523
90,2.317762,498,445,530,524
91,2.3339127,498,445,530,525
92,2.3496499,498,445,530,524
93,2.3815418,498,445,530,523
94,2.3977713,498,445,530,524
95,2.4137916,498,445,530,525
96,2.4296143,498,445,530,524
97,2.4616076,498,446,531,523
98,2.4776207,498,446,531,524
99,2.49367,498,445,530,525
100,2.5258076,498,446,530,524
101,2.5413691,498,445,531,523
102,2.5579264,499,445,530,524
103,2.5892378,498,445,530,525
104,2.6052488,498,445,530,524
105,2.6215025,498,445,530,524
106,2.6373722,498,445,530,524
107,2.6693133,498,445,530,525
108,2.6853919,498,446,530,524
109,2.7013989,498,446,530,523
110,2.7334016,499,445,530,524
111,2.7493845,498,444,530,525
112,2.765387,498,445,530,525
113,2.7979741,498,445,530,524
114,2.8134837,498,445,530,524
115,2.8294938,498,445,530,525
116,2.845505,498,445,530,524
117,2.8773094,498,445,530,523
118,2.8932165,499,446,530,524
119,2.9092846,498,445,530,525
120,2.9413325,499,445,531,525
121,2.9573435,498,445,530,524
122,2.973337,498,446,531,524
123,3.00539,499,445,531,525
124,3.0213095,499,445,530,524
125,3.0372251,499,445,531,524
126,3.0692833,498,446,530,524
127,3.0852708,498,445,530,525
128,3.1012712,498,445,530,525
129,3.1172728,499,445,530,523
130,3.1491342,499,445,530,524
131,3.1651147,499,446,530,525
132,3.1809385,498,446,530,524
133,3.2131359,499,446,530,523
134,3.2291635,499,445,531,524
135,3.2451992,499,446,531,525
136,3.2771122,499,445,531,525
137,3.2931226,499,446,530,524
138,3.309069,499,445,530,524
139,3.3250778,499,446,530,525
140,3.3566141,499,446,530,525
141,3.3728216,498,445,530,524
142,3.3888519,498,446,531,524
143,3.4208238,499,446,531,525
144,3.4369854,499,446,530,525
145,3.4529982,499,446,531,524
146,3.4848004,498,445,530,524
147,3.5008555,498,445,530,525
148,3.5167542,498,446,530,524
149,3.53307,498,446,530,524
150,3.5646039,498,445,530,524
151,3.5805986,498,446,531,525
152,3.5969603,498,445,530,525
153,3.6290218,498,446,531,524
154,3.6447608,498,446,531,524
155,3.6606266,498,446,530,525
156,3.6929118,498,445,530,525
157,3.7088486,498,446,530,524
158,3.7248617,498,446,530,524
159,3.7408738,498,446,531,525
160,3.7725278,498,446,531,525
161,3.7885808,498,445,530,524
162,3.8049969,498,445,531,524
163,3.8366159,498,446,530,525
164,3.8526024,498,445,531,525
165,3.8688896,498,446,531,524
166,3.9006049,498,445,531,524
167,3.9166294,498,445,531,525
168,3.9328427,498,445,530,525
169,3.9644149,498,445,530,524
170,3.9804255,498,445,530,524
171,3.9964338,498,445,530,525
172,4.0124451,498,445,530,525
173,4.0441649,499,446,530,524
174,4.0604621,498,446,530,524
175,4.076387,498,445,530,525
176,4.1083824,499,446,530,524
177,4.1245667,498,446,530,524
178,4.1402936,498,445,531,524
179,4.1722673,498,445,530,525
180,4.1882804,498,446,531,525
181,4.204282,499,446,530,524
182,4.2202942,498,447,530,524
183,4.2522965,498,446,530,525
184,4.2683945,498,446,530,525
185,4.2846373,498,446,530,524
186,4.3163906,498,446,531,524
187,4.3323282,499,446,530,525
188,4.3483776,498,446,530,525
189,4.380395,498,446,531,524
190,4.3966194,498,446,531,524
191,4.4127046,498,446,531,525
192,4.4283963,499,446,530,525
193,4.4602453,499,446,531,524
194,4.4762366,498,446,531,524
195,4.4922745,498,446,531,525
196,4.5240347,498,446,531,525
197,4.5403068,499,446,531,524
198,4.5564313,499,446,531,524
199,4.5878538,499,446,531,525
200,4.6042605,499,446,531,525
201,4.6201348,499,446,531,524
202,4.6361131,499,447,531,524
203,4.6681378,498,447,531,525
204,4.686666,498,447,531,525
205,4.7001209,498,446,531,524
206,4.7319705,499,446,531,524
207,4.7482577,498,446,531,525
208,4.7638934,499,446,531,525
209,4.795903,498,446,531,525
210,4.8119025,499,447,531,525
211,4.827883,499,446,531,526
212,4.8600213,499,446,531,525
213,4.8760318,499,446,531,524
214,4.892042,499,446,531,524
215,4.9080549,498,446,530,525
216,4.9395618,498,446,530,525
217,4.9557767,499,445,530,523
218,4.9716951,499,446,530,524
219,5.0036346,499,445,530,525
220,5.0201471,499,445,530,524
221,5.0359777,499,446,530,523
222,5.0679,499,445,531,524
223,5.0839141,499,446,530,525
224,5.0999255,499,446,530,525
225,5.1159348,499,446,530,524
226,5.1476578,499,445,530,523
227,5.1640197,499,446,530,525
228,5.1799291,499,445,530,525
229,5.2114511,498,445,530,524
230,5.2274625,498,445,530,524
231,5.2434739,499,446,530,525
232,5.2754967,499,446,531,525
233,5.2915081,498,446,530,524
234,5.3075195,499,445,531,524
235,5.3235309,499,446,531,525
236,5.3555537,499,445,531,525
237,5.3715724,499,446,530,524
238,5.3875859,499,445,530,524
239,5.4196005,499,445,530,525
240,5.4354957,499,446,530,525
241,5.4515753,499,446,530,524
242,5.4836769,499,446,530,524
243,5.4993952,499,446,531,525
244,5.5154084,499,446,530,525
245,5.5316185,499,446,530,524
246,5.5635797,499,447,530,524
247,5.5793964,498,446,530,525
248,5.5954078,499,447,531,525
249,5.6274632,498,447,531,524
250,5.6432096,499,447,530,524
251,5.6592539,498,447,531,525
252,5.691267,499,446,531,525
253,5.7073331,498,446,531,524
254,5.7233843,499,447,531,524
255,5.7554041,499,446,531,525
256,5.7714167,499,446,531,525
257,5.7875018,499,446,531,524
258,5.8035135,499,446,531,524
259,5.8352661,499,447,531,525
260,5.851282,499,446,531,525
261,5.8672222,499,447,531,524
262,5.8994156,499,446,531,524
263,5.9152993,499,447,531,525
264,5.9312887,499,446,531,525
265,5.9628342,499,446,531,524
266,5.9793449,498,447,531,524
267,5.9953575,499,446,531,525
268,6.0111464,499,446,531,525
269,6.0433461,499,446,531,525
270,6.0588193,499,444,531,524
271,6.0751818,498,446,531,525
272,6.1071687,499,446,531,526
273,6.1231242,498,446,532,525
274,6.1391178,499,446,531,525
275,6.170958,499,446,531,525
276,6.1869706,499,446,531,526
277,6.2029787,499,447,531,525
278,6.2190324,499,446,531,525
279,6.2510307,499,446,531,526
280,6.2670288,499,446,531,526
281,6.2831018,499,446,531,525
282,6.314903,499,446,532,525
283,6.3309138,499,447,531,526
284,6.3468984,499,446,531,526
285,6.3786202,499,447,531,525
286,6.3951074,499,447,532,525
287,6.4109289,499,446,531,526
288,6.4268869,500,447,531,526
289,6.4586893,499,447,531,525
290,6.4749446,500,447,531,525
291,6.4905557,499,446,531,526
292,6.5224367,499,446,531,526
293,6.5387992,499,447,531,525
294,6.5545144,499,447,531,525
295,6.5867839,499,447,531,526
296,6.6026981,499,446,531,526
297,6.6184493,499,447,532,525
298,6.6504983,499,447,532,525
299,6.6668234,499,446,532,526
300,6.6825435,499,446,532,526
301,6.6984456,499,446,532,525
302,6.7307017,499,447,531,525
