#PressureID,Time,Sensor1,Sensor2,Sensor3,Sensor4
0,0,497,445,529,523
1,1,498,445,530,524
2,2,498,445,530,524
3,3,498,445,530,524
4,4,498,446,531,525
5,5,499,446,531,524
6,6,499,446,531,525
7,7,499,447,532,525
8,8,499,447,532,526
9,9,500,447,531,525
10,10,500,447,531,525
11,11,501,447,532,526
12,12,501,448,532,526
13,13,501,449,532,525
14,14,501,449,532,526
15,15,493,437,528,522
16,16,486,432,524,517
17,17,490,438,526,519
18,18,492,439,527,520
19,19,493,440,527,521
20,20,493,442,528,522
21,21,494,444,528,522
22,22,496,445,529,523
23,23,496,446,529,523
24,24,496,447,529,523
25,25,497,447,529,523
26,26,498,447,529,523
27,27,499,448,530,523
28,28,499,448,530,524
29,29,500,447,531,524
30,30,500,447,531,525
31,31,501,448,531,524
32,32,501,449,531,525
33,33,501,449,531,525
34,34,502,449,531,525
35,35,502,449,531,525
36,36,500,467,539,532
37,37,501,460,537,530
38,38,503,448,532,526
39,39,504,450,533,527
40,40,504,451,533,527
41,41,506,450,534,528
42,42,505,452,533,527
43,43,506,453,533,527
44,44,508,452,534,528
45,45,508,453,534,528
46,46,508,454,534,528
47,47,509,455,534,528
48,48,509,455,535,529
49,49,509,456,535,529
50,50,509,457,535,529
51,51,510,458,535,529
52,52,510,458,535,529
53,53,510,459,535,529
54,54,510,458,535,529
55,55,510,458,536,529
56,56,510,458,536,530
57,57,510,458,536,529
58,58,510,458,536,530
59,59,511,459,536,530
60,60,511,460,536,530
61,61,511,460,536,530
62,62,512,460,536,530
63,63,512,460,536,530
64,64,512,461,536,530
65,65,512,461,536,530
66,66,513,461,536,530
67,67,513,461,536,530
68,68,513,461,536,530
69,69,513,461,537,530
70,70,513,461,537,530
71,71,513,462,537,531
72,72,513,462,537,531
73,73,514,462,537,530
74,74,514,463,537,531
75,75,514,463,537,531
76,76,514,462,537,531
77,77,514,463,537,531
78,78,514,463,537,531
79,79,514,463,537,531
80,80,515,462,537,531
81,81,515,463,538,532
82,82,515,464,538,532
83,83,515,463,539,532
84,84,515,464,539,532
85,85,515,464,539,532
86,86,515,464,538,532
87,87,515,464,538,532
88,88,516,464,538,532
89,89,516,464,539,532
90,90,516,465,539,532
91,91,516,465,539,532
92,92,517,465,539,532
93,93,517,465,539,532
94,94,517,465,539,532
95,95,517,466,539,533
96,96,517,466,539,533
97,97,517,465,539,533
98,98,518,465,539,533
99,99,518,465,540,533
100,100,518,465,540,533
101,101,518,465,540,533
102,102,518,466,540,533
103,103,518,466,539,533
104,104,518,466,539,533
105,105,518,466,540,534
106,106,518,467,540,534
107,107,518,466,540,534
108,108,519,467,540,534
109,109,518,467,540,534
110,110,518,467,541,534
111,111,519,467,541,534
112,112,519,467,541,534
113,113,519,467,541,534
114,114,519,468,541,534
115,115,519,468,540,534
116,116,519,469,540,534
117,117,519,469,540,534
118,118,519,468,540,534
119,119,519,469,540,533
120,120,519,469,540,534
121,121,519,470,540,534
122,122,519,470,540,534
123,123,519,469,540,534
124,124,519,470,540,533
125,125,519,470,540,533
126,126,519,470,540,533
127,127,519,470,540,534
128,128,519,470,540,534
129,129,519,470,540,534
130,130,520,470,540,534
131,131,520,470,541,534
132,132,520,471,541,535
133,133,520,471,541,535
134,134,520,471,541,535
135,135,520,471,541,535
136,136,521,471,541,535
137,137,521,471,541,535
138,138,521,473,541,535
139,139,521,472,541,535
140,140,521,472,541,535
141,141,521,473,540,534
142,142,521,473,540,534
143,143,521,473,540,534
144,144,521,473,540,534
145,145,522,473,541,534
146,146,522,473,541,535
147,147,522,473,541,535
148,148,521,473,541,534
149,149,521,473,541,534
150,150,522,473,540,534
151,151,522,474,541,534
152,152,522,474,541,534
153,153,523,474,541,535
154,154,523,474,541,534
155,155,523,474,540,534
156,156,523,475,540,534
157,157,523,475,540,534
158,158,523,475,540,534
159,159,523,475,540,534
160,160,523,476,540,534
161,161,523,476,540,534
162,162,523,476,540,534
163,163,523,476,541,534
164,164,524,476,541,535
165,165,524,477,541,535
166,166,524,477,541,535
167,167,524,477,541,534
168,168,524,477,541,534
169,169,524,478,541,534
170,170,524,478,541,534
171,171,524,478,541,535
172,172,524,478,541,535
173,173,524,477,541,535
174,174,524,477,541,535
175,175,524,477,541,535
176,176,524,477,541,535
177,177,524,478,541,535
178,178,524,478,542,535
179,179,524,478,542,535
180,180,524,479,541,535
181,181,524,479,541,535
182,182,524,479,541,535
183,183,524,479,541,535
184,184,524,479,541,535
185,185,524,479,541,535
186,186,524,479,541,535
187,187,524,479,541,535
188,188,524,479,541,535
189,189,524,479,541,535
190,190,525,479,542,536
