Time,X,Y,Type
2.291,1321,27,0
2.297,1306,-39,0
2.305,1286,-97,0
2.313,1247,-206,0
2.321,1190,-239,0
2.329,1120,-234,0
2.337,1025,-238,0
2.345,920,-209,0
2.353,804,-185,0
2.361,663,-178,0
2.369,505,-151,0
2.377,330,-118,0
2.385,141,-91,0
2.393,-69,-57,0
2.401,-203,-29,0
2.409,-142,-21,0
2.417,-74,-9,0
2.425,-19,3,0
2.433,-4,13,0
2.441,-1,33,0
2.449,-4,86,0
2.457,-9,162,0
2.465,-4,257,0
2.473,-4,360,0
2.481,-3,431,0
2.489,0,555,0
2.497,0,679,0
2.505,4,814,0
2.513,9,951,0
2.521,11,1084,0
2.529,11,1219,0
2.537,13,1211,0
2.545,23,1214,0
2.553,44,1210,0
2.561,79,1192,0
2.569,127,1188,0
2.577,190,1179,0
2.585,266,1169,0
2.593,335,1146,0
2.6,400,1129,0
2.609,435,1099,0
2.616,476,1094,0
2.624,501,1080,0
2.632,514,1075,0
2.64,521,1068,0
2.648,522,1065,0
2.656,522,1060,0
2.664,516,1051,0
2.672,510,1043,0
2.68,505,1035,0
2.688,501,1030,0
2.696,499,1027,0
2.704,498,1026,0
2.712,497,1024,0
2.72,496,1023,0
2.728,494,1021,0
2.736,491,1020,0
2.744,489,1018,0
2.752,485,1016,0
2.76,482,1014,0
2.768,481,1014,0
2.776,480,1014,0
2.784,480,1013,0
2.792,480,1012,0
2.8,480,1012,0
2.808,482,1012,0
2.816,485,1012,0
2.824,487,1012,0
2.832,492,1012,0
2.84,495,1012,0
2.848,498,1012,0
2.856,499,1013,0
2.864,500,1014,0
2.872,502,1016,0
2.88,505,1019,0
2.888,506,1021,0
2.896,510,1026,0
2.904,515,1031,0
2.912,520,1036,0
2.92,526,1040,0
2.928,530,1042,0
2.936,532,1044,0
2.944,534,1045,0
2.952,535,1045,0
2.96,536,1045,0
2.968,537,1045,0
2.976,538,1045,0
2.984,540,1046,0
2.992,543,1048,0
3,547,1048,0
3.008,550,1050,0
3.016,552,1051,0
3.024,553,1052,0
3.032,554,1053,0
3.04,554,1053,0
3.048,554,1054,0
3.056,555,1054,0
3.064,557,1055,0
3.072,559,1056,0
3.08,561,1057,0
3.088,563,1058,0
3.096,564,1059,0
3.104,566,1060,0
3.112,568,1061,0
3.12,572,1062,0
3.128,572,1063,0
3.176,572,1063,1
3.288,572,1063,2
4.08,572,1063,1
4.176,572,1063,2
4.264,573,1063,0
4.272,573,1063,0
4.28,575,1060,0
4.288,580,1050,0
4.296,594,1030,0
4.304,626,987,0
4.312,676,924,0
4.32,741,842,0
4.328,813,753,0
4.336,900,649,0
4.344,990,538,0
4.352,1085,416,0
4.36,1141,335,0
4.368,1222,209,0
4.376,1296,91,0
