#PressureID,Time,Sensor1,Sensor2,Sensor3,Sensor4
0,0.429398,544,466,545,539
1,0.4452929,544,467,545,539
2,0.4769947,544,467,545,538
3,0.4934762,544,467,545,539
4,0.5094062,544,466,545,540
5,0.5411977,544,467,545,539
6,0.5574362,544,467,545,538
7,0.5732651,544,467,545,539
8,0.6050825,544,466,545,540
9,0.6204797,544,467,546,540
10,0.6366164,544,467,545,538
11,0.6526666,544,467,545,539
12,0.6847662,544,467,545,540
13,0.7004623,544,467,545,540
14,0.7169848,543,467,545,539
15,0.749041,544,467,545,539
16,0.7652762,544,467,545,540
17,0.7811778,544,467,545,539
18,0.8122373,544,466,545,538
19,0.8292519,544,467,545,538
20,0.8446542,543,466,545,540
21,0.8606283,543,466,545,539
22,0.8926476,544,466,545,538
23,0.9091161,543,467,545,539
24,0.9251702,543,466,545,540
25,0.9567781,543,466,545,539
26,0.9734407,544,467,545,538
27,0.9886544,544,467,545,539
28,1.0207508,543,466,545,540
29,1.0367701,544,466,545,539
30,1.0523418,544,467,545,538
31,1.0845302,544,467,545,538
32,1.1008333,543,467,545,540
33,1.1169405,543,467,545,540
34,1.1327241,544,467,545,538
35,1.1646182,544,467,545,539
36,1.1806942,544,467,545,540
37,1.1968159,544,467,545,540
38,1.2287716,544,467,545,539
39,1.2444673,544,467,545,539
40,1.2606892,544,467,545,540
41,1.2921342,544,467,545,539
42,1.3081635,544,467,545,539
43,1.3244678,544,467,546,539
44,1.340482,544,467,546,540
45,1.3724645,543,467,546,540
46,1.388163,544,467,546,539
47,1.4042173,544,467,546,539
48,1.436714,543,467,546,540
49,1.4524903,543,466,546,540
50,1.4683756,544,467,546,539
51,1.5005483,543,467,546,539
52,1.5165378,543,467,546,540
53,1.5325502,543,467,546,540
54,1.5485575,543,467,546,539
55,1.580581,543,467,546,539
56,1.5965901,543,467,546,540
57,1.6126104,543,467,546,540
58,1.6445676,543,466,546,539
59,1.6600743,543,466,545,539
60,1.6765688,543,467,546,540
61,1.7086012,543,467,545,540
62,1.7239745,543,467,546,539
63,1.7404596,543,467,546,539
64,1.7564648,543,467,544,540
65,1.7878641,544,467,545,540
66,1.8038832,544,467,545,538
67,1.8202847,543,467,545,538
68,1.8523116,543,467,545,540
69,1.8684746,543,467,545,540
70,1.8842996,543,467,546,539
71,1.9159796,543,466,546,539
