#KeystrokeID,Time,IsKeyDown,Key
0,402.873,0,RETURN
1,402.936,1,RETURN
2,409.464,0,RSHIFT
3,409.848,1,RSHIFT
4,409.976,0,KEY_H
5,410.032,1,KEY_H
6,410.24,0,SPACE
7,410.344,1,SPACE
8,410.616,0,BACK
9,410.68,1,BACK
10,410.76,0,BACK
11,410.832,1,BACK
12,412.376,0,LCONTROL
13,412.528,0,KEY_B
14,412.648,1,KEY_B
15,412.672,1,LCONTROL
16,413.12,0,RSHIFT
17,413.312,0,KEY_T
18,413.376,1,RSHIFT
19,413.392,1,KEY_T
20,413.48,0,KEY_H
21,413.544,1,KEY_H
22,413.56,0,KEY_E
23,413.704,1,KEY_E
24,413.728,0,SPACE
25,413.856,1,SPACE
26,414.44,0,KEY_B
27,414.512,1,KEY_B
28,415.072,0,KEY_S
29,415.168,1,KEY_S
30,415.264,0,KEY_T
31,415.36,1,KEY_T
32,415.408,0,SPACE
33,415.544,1,SPACE
34,416.144,0,BACK
35,416.208,1,BACK
36,416.296,0,BACK
37,416.352,1,BACK
38,416.432,0,BACK
39,416.504,1,BACK
40,417.168,0,KEY_E
41,417.232,1,KEY_E
42,417.52,0,KEY_S
43,417.6,1,KEY_S
44,417.728,0,KEY_T
45,417.8,1,KEY_T
46,417.872,0,SPACE
47,417.992,1,SPACE
48,418.144,0,KEY_W
49,418.248,1,KEY_W
50,418.608,0,KEY_Y
51,418.744,1,KEY_Y
52,419.608,0,BACK
53,419.728,1,BACK
54,420.072,0,KEY_A
55,420.224,1,KEY_A
56,420.256,0,KEY_Y
57,420.432,1,KEY_Y
58,420.944,0,SPACE
59,421.12,1,SPACE
60,426.896,0,KEY_F
61,426.968,1,KEY_F
62,427.096,0,KEY_O
63,427.184,1,KEY_O
64,427.216,0,KEY_R
65,427.328,1,KEY_R
66,427.368,0,SPACE
67,427.456,1,SPACE
68,427.56,0,KEY_A
69,427.688,0,SPACE
70,427.728,1,KEY_A
71,427.832,1,SPACE
72,430.048,0,KEY_S
73,430.176,1,KEY_S
74,430.488,0,KEY_O
75,430.56,1,KEY_O
76,430.696,0,KEY_C
77,430.808,1,KEY_C
78,430.84,0,KEY_I
79,430.928,1,KEY_I
80,431.128,0,KEY_E
81,431.208,1,KEY_E
82,431.384,0,KEY_T
83,431.44,1,KEY_T
84,431.512,0,KEY_Y
85,431.632,0,SPACE
86,431.704,1,KEY_Y
87,431.808,1,SPACE
88,432.936,0,KEY_O
89,433.032,0,SPACE
90,433.12,1,KEY_O
91,433.176,1,SPACE
92,433.712,0,KEY_P
93,433.792,1,KEY_P
94,434.088,0,KEY_R
95,434.176,0,KEY_E
96,434.184,1,KEY_R
97,434.312,1,KEY_E
98,434.456,0,KEY_L
99,434.552,1,KEY_L
100,434.832,0,KEY_A
101,435.016,1,KEY_A
102,435.392,0,BACK
103,435.464,1,BACK
104,435.536,0,BACK
105,435.632,1,BACK
106,436.312,0,KEY_P
107,436.392,1,KEY_P
