Time,Sensor1,Sensor2,Sensor3,Sensor4
3.925,0,0,0,0,
3.927,0,0,0,0,
3.927,0,0,0,0,
3.96,0,0,0,0,
3.961,0,0,0,0,
3.962,0,0,0,0,
3.963,0,0,0,0,
3.967,0,0,0,0,
4.001,0,0,0,0,
4.001,0,0,0,0,
4.002,0,0,0,0,
4.034,0,0,0,0,
4.035,0,0,0,0,
4.037,0,0,0,0,
4.038,0,0,0,0,
4.042,0,0,0,0,
4.077,0,0,0,0,
4.079,0,0,0,0,,0,60,0,
4.081,17,0,55,0,
4.083,21,0,50,0,
4.084,22,0,45,0,
4.116,27,0,37,0,
4.117,29,0,35,0,
4.119,29,0,33,0,
4.122,29,0,33,0,
4.154,26,0,34,0,
4.156,26,0,36,0,
4.158,26,0,38,0,
4.159,27,0,39,0,
4.191,27,0,41,0,
4.193,28,0,43,0,
4.195,29,0,46,0,
4.197,29,0,49,0,
4.23,30,0,49,0,
4.231,28,0,53,0,
4.232,27,0,54,0,
4.232,26,0,58,0,
4.266,25,0,64,0,
4.267,20,0,64,0,
4.269,18,0,68,0,
4.277,12,0,72,0,
4.28,11,0,73,0,
4.312,7,0,77,0,
4.314,4,0,79,0,
4.317,0,0,82,0,
4.317,0,0,90,0,
4.351,0,0,94,0,
4.351,0,0,96,0,
4.353,0,0,100,0,
4.354,0,0,104,0,
4.386,0,0,107,0,
4.388,0,0,109,0,
4.389,0,0,109,0,
4.395,0,0,111,0,
4.428,0,0,110,0,
4.429,0,0,113,0,
4.431,0,0,116,0,
4.431,0,0,115,0,
4.464,0,0,116,0,
4.464,0,0,118,0,
4.466,0,0,120,0,
4.499,0,0,123,0,
4.499,0,0,125,0,
4.5,0,0,126,0,
4.5,0,0,126,0,
4.505,0,0,125,0,
4.536,0,0,122,0,
4.536,0,0,123,0,
4.537,0,0,123,0,
4.541,0,0,123,0,
4.55,0,0,124,0,
4.555,0,0,126,0,
4.605,0,0,128,0,
4.605,0,0,129,0,
4.606,0,0,124,0,
4.607,0,0,119,0,
4.608,0,0,114,0,
4.641,0,0,109,0,
4.642,0,0,100,0,
4.643,0,0,94,0,
4.643,0,0,90,0,
4.675,0,0,85,0,
4.676,0,0,82,0,
4.677,0,0,76,0,
4.681,0,0,72,0,
4.713,0,0,68,0,
4.713,0,0,64,0,
4.714,0,0,61,0,
4.719,0,0,58,0,
4.751,0,0,52,0,
4.751,0,0,45,0,
4.752,0,0,39,0,
4.759,0,0,32,0,
4.791,0,0,26,0,
4.791,0,0,17,0,
4.792,0,0,11,0,
4.801,0,0,3,0,
4.832,0,0,0,0,
4.833,0,0,0,0,
4.834,0,0,0,0,
4.835,0,0,0,0,
4.869,0,0,0,0,
4.87,0,0,0,0,
4.87,0,0,0,0,
4.871,0,0,0,0,
4.903,0,0,0,0,
4.904,0,0,0,0,
4.905,0,0,0,0,
4.906,0,0,0,0,
4.938,0,0,0,0,
4.938,0,0,0,0,
4.942,0,0,0,0,
4.943,0,0,0,0,
4.95,0,0,0,0,
4.982,0,0,0,0,
4.982,0,0,0,0,
4.984,0,0,0,0,
4.986,0,0,0,0,
5.019,0,0,0,0,
5.019,0,0,5,0,
5.021,0,0,8,0,
5.026,0,0,10,0,
5.059,0,0,11,0,
5.06,0,0,13,0,
5.062,0,0,15,0,
5.063,0,0,17,0,
5.095,0,0,18,0,
5.096,0,0,19,0,
5.096,3,0,22,0,
5.099,4,0,25,0,
5.132,5,0,28,0,
5.134,5,0,31,0,
5.137,5,0,32,0,
5.139,6,0,34,0,
5.148,7,0,35,0,
5.151,8,0,36,0,
5.211,10,0,36,0,
5.211,13,0,36,0,
5.213,15,0,36,0,
5.214,16,0,35,0,
5.215,17,0,35,0,
5.216,20,0,34,0,
5.219,24,0,35,0,
5.227,27,0,34,0,
5.262,30,0,33,0,
5.262,32,0,33,0,
5.262,33,0,31,0,
5.263,34,0,29,0,
5.294,36,0,28,0,
5.295,38,0,28,0,
5.297,41,0,28,0,
5.298,43,0,30,0,
5.331,44,0,31,0,
5.332,44,0,32,0,
5.333,43,0,32,0,
5.334,41,0,31,0,
5.342,41,0,31,0,
5.349,41,0,29,0,
5.381,40,0,25,0,
5.382,40,0,25,0,
5.382,39,0,18,0,
5.414,37,0,12,0,
5.416,35,0,5,0,
5.417,33,0,0,0,
5.418,32,0,0,0,
5.45,27,0,0,0,
5.451,22,0,0,0,
5.451,10,0,0,0,
5.459,0,0,0,0,
5.491,0,0,0,0,
5.491,0,0,0,0,
5.492,0,0,0,0,
5.499,0,0,0,0,
5.531,0,0,0,0,
5.531,0,0,0,0,
5.531,0,0,0,0,
5.538,0,0,0,0,
5.547,0,0,0,0,
5.553,0,0,0,0,
5.585,0,0,0,0,
5.585,0,0,0,0,
5.585,0,0,0,0,
5.617,0,0,0,0,
5.617,0,0,0,0,
5.617,0,0,0,0,
5.618,0,0,0,0,
5.649,0,0,0,0,
5.65,0,0,0,0,
5.65,0,0,0,0,
5.682,0,0,0,0,
5.682,0,0,0,0,
5.683,0,0,0,0,
5.683,0,0,0,0,
5.715,0,0,0,0,
5.715,0,0,0,0,
5.716,0,0,0,0,
5.723,0,0,0,0,
5.755,0,0,0,0,
5.755,0,0,0,0,
5.756,0,0,0,0,
5.764,0,0,0,0,
5.805,0,0,0,0,
5.806,0,0,0,0,
5.806,0,0,0,0,
5.806,0,0,0,0,
5.807,0,0,0,0,
5.839,0,0,0,0,
5.839,0,0,0,0,
5.839,0,0,0,0,
5.843,0,0,0,0,
5.875,0,0,0,0,
5.875,0,0,0,0,
5.876,0,0,0,0,
5.88,0,0,0,0,
5.911,0,0,0,0,
5.912,0,0,0,0,
5.912,0,0,0,0,
5.944,0,0,0,0,
5.944,0,0,0,0,
5.945,0,0,0,0,
5.945,0,0,0,0,
5.977,0,0,0,0,
5.977,0,0,0,0,
5.978,0,0,0,0,
5.984,0,0,0,0,
6.018,0,0,0,0,
6.019,0,0,0,0,
6.019,0,0,0,0,
6.02,0,0,0,0,
6.052,0,0,0,0,
6.052,0,0,0,0,
6.052,0,0,0,0,
6.059,0,0,0,0,
6.091,0,0,0,0,
6.091,0,0,0,0,
6.091,0,0,0,0,
6.092,0,0,0,0,
6.124,0,0,0,0,
6.124,0,0,0,0,
6.124,0,0,0,0,
6.157,0,0,0,0,
6.158,0,0,0,0,
6.158,0,0,0,0,
6.162,0,0,0,0,
6.196,0,0,0,0,
6.197,0,0,0,0,
6.197,0,0,0,0,
6.198,0,0,0,0,
6.233,0,0,0,0,
6.233,0,0,0,0,
6.234,0,0,0,0,
6.235,0,0,0,0,
6.263,0,0,0,0,
6.264,0,0,0,0,
6.264,0,0,0,0,
6.296,0,0,0,0,
6.297,0,0,0,0,
6.298,0,0,0,0,
6.299,0,0,0,0,
6.331,0,0,0,0,
6.331,0,0,0,0,
6.332,0,0,0,0,
6.364,0,0,0,0,
6.365,0,0,0,0,
6.365,0,0,0,0,
6.385,0,0,0,0,
6.385,0,0,0,0,
6.396,0,0,0,0,
6.397,0,0,0,0,
6.429,0,0,0,0,
6.429,0,0,0,0,
6.43,0,0,0,0,
6.431,0,0,0,0,
6.463,0,0,0,0,
6.463,0,0,0,0,
6.464,0,0,0,0,
6.472,0,0,0,0,
6.504,0,0,0,0,
6.505,0,0,0,0,
6.505,0,0,0,0,
6.512,0,0,0,0,
6.544,0,0,0,0,
6.545,0,0,0,0,
6.545,0,0,0,0,
6.546,0,0,0,0,
6.578,0,0,0,0,
6.579,0,0,0,0,
6.579,0,0,0,0,
6.612,0,0,0,0,
6.613,0,0,0,0,
6.615,0,0,0,0,
6.648,0,0,0,0,
6.649,0,0,0,0,
6.65,0,0,0,0,
6.654,0,0,0,0,
6.688,0,0,0,0,
6.688,0,0,0,0,
6.69,0,0,0,0,
6.726,0,0,0,0,
6.727,0,0,0,0,
6.73,0,0,0,0,
6.731,0,0,0,0,
6.764,0,0,0,0,
6.765,0,0,0,0,
6.766,0,0,0,0,
6.802,0,0,0,0,
6.803,0,0,0,0,
6.804,0,0,0,0,
6.811,0,0,0,0,
6.844,0,0,0,0,
6.844,0,0,0,0,
6.845,0,0,0,0,
6.85,0,0,0,0,
6.883,0,0,0,0,
6.883,0,0,0,0,
6.889,0,0,0,0,
6.922,0,0,0,0,
6.923,0,0,0,0,
6.924,0,0,0,0,
6.925,0,0,0,0,
6.958,0,0,0,0,
6.959,0,0,0,0,
6.96,0,0,0,0,
6.998,0,0,0,0,
6.999,0,0,0,0,
6.999,0,0,0,0,
7.003,0,0,0,0,
7.037,0,0,0,0,
7.037,0,0,0,0,
7.037,0,0,0,0,
7.043,0,0,0,0,
7.077,0,0,0,0,
7.077,0,0,0,0,
7.078,0,0,0,0,
7.111,0,0,0,0,
7.111,0,0,0,0,
7.112,0,0,0,0,
7.118,0,0,0,0,
7.151,0,0,0,0,
7.153,0,0,0,0,
7.154,0,0,0,0,
7.187,0,0,0,0,
7.188,0,0,0,0,
7.188,0,0,0,0,
7.197,0,0,0,0,
7.23,0,0,0,0,
7.23,0,0,0,0,
7.232,0,0,0,0,
7.268,0,0,0,0,
7.269,0,0,0,0,
7.269,0,0,0,0,
7.269,0,0,0,0,
7.302,0,0,0,0,
7.302,0,0,0,0,
7.304,0,0,0,0,
7.337,0,0,0,0,
7.338,0,0,0,0,
7.338,0,0,0,0,
7.345,0,0,0,0,
7.379,0,0,0,0,
7.379,0,0,0,0,
7.38,0,0,0,0,
7.413,0,0,0,0,
7.413,0,0,0,0,
7.414,0,0,0,0,
7.42,0,0,0,0,
7.453,0,0,0,0,
7.454,0,0,0,0,
7.455,0,0,0,0,
7.489,0,0,0,0,
7.49,0,0,0,0,
7.491,0,0,0,0,
7.499,0,0,0,0,
7.532,0,0,0,0,
7.532,0,0,0,0,
7.533,0,0,0,0,
7.537,0,0,0,0,
7.571,0,0,0,0,
7.571,0,0,0,0,
7.588,0,0,0,0,
7.603,0,0,0,0,
7.604,0,0,0,0,
7.604,0,0,0,0,
7.636,0,0,0,0,
7.637,0,0,0,0,
7.637,0,0,0,0,
7.669,0,0,0,0,
7.671,0,0,0,0,
7.673,0,0,0,0,
7.704,0,0,0,0,
7.705,0,0,0,0,
7.705,0,0,0,0,
7.709,0,0,0,0,
7.741,0,0,0,0,
7.742,0,0,0,0,
7.774,0,0,0,0,
7.774,0,0,0,0,
7.774,0,0,0,0,
7.777,0,0,0,0,
7.809,0,0,0,0,
7.809,0,0,0,0,
7.809,0,0,0,0,
7.842,0,0,0,0,
7.842,0,0,0,0,
7.842,0,0,0,0,
7.85,0,0,0,0,
7.882,0,0,0,0,
7.882,0,0,0,0,
7.883,0,0,0,0,
