Time,Sensor1,Sensor2,Sensor3,Sensor4
6.821,0,0,0,0,
6.823,0,0,0,0,
6.855,0,0,0,0,
6.857,0,0,0,0,
6.857,0,0,0,0,
6.891,0,0,0,0,
6.892,0,0,0,0,
6.892,0,0,0,0,
6.893,1,0,0,0,
6.898,5,0,0,0,
6.93,8,0,0,0,
6.931,11,0,0,0,
6.931,13,0,0,0,
6.937,15,0,0,0,
6.969,17,0,0,0,
6.969,21,0,0,0,
6.969,23,0,0
6.97,0,0,0,0,
7.002,0,0,0,0,
7.002,0,0,0,0,
7.002,0,0,0,0,
7.009,0,0,0,0,
7.041,0,0,0,0,
7.041,0,0,0,0,
7.042,0,0,0,0,
7.042,0,0,0,0,
7.074,0,0,0,0,
7.075,0,0,0,0,
7.075,0,0,0,0,
7.12,0,0,0,0,
7.12,0,0,0,0,
7.124,0,0,0,0,
7.125,0,0,0,0,
7.125,0,0,0,0,
7.157,0,0,0,0,
7.158,0,0,0,0,
7.158,0,0,0,0,
7.158,0,0,0,0,
7.189,0,0,0,0,
7.189,0,0,0,0,
7.19,0,0,0,0,
7.223,0,0,0,0,
7.223,0,0,0,0,
7.224,0,0,0,0,
7.225,0,0,0,0,
7.258,0,0,0,0,
7.259,0,0,0,0,
7.259,0,0,0,0,
7.266,0,0,0,0,
7.3,0,0,0,0,
7.301,0,0,0,0,
7.301,0,0,0,0,
7.302,0,0,0,0,
7.334,0,0,0,0,
7.334,0,0,0,0,
7.335,0,0,0,0,
7.341,0,0,0,0,
7.374,0,0,0,0,
7.374,0,0,0,0,
7.374,0,0,0,0,
7.375,0,0,0,0,
7.41,0,0,0,0,
7.411,0,0,0,0,
7.411,0,0,0,0,
7.412,0,0,0,0,
7.445,0,0,0,0,
7.445,0,0,0,0,
7.446,0,0,0,0,
7.45,0,0,0,0,
7.483,0,0,0,0,
7.483,0,0,0,0,
7.483,0,0,0,0,
7.488,0,0,0,0,
7.521,0,0,0,0,
7.521,0,0,0,0,
7.522,0,0,0,0,
7.529,0,0,0,0,
7.536,0,0,0,0,
7.568,0,0,0,0,
7.569,0,0,0,0,
7.57,0,0,0,0,
7.577,0,0,0,0,
7.584,0,0,0,0,
7.616,0,0,0,0,
7.616,0,0,0,0,
7.617,0,0,0,0,
7.649,0,0,0,0,
7.65,0,0,0,0,
7.651,0,0,0,0,
7.651,0,0,0,0,
7.684,0,0,0,0,
7.684,0,0,0,0,
7.685,0,0,0,0,
7.719,0,0,0,0,
7.719,0,0,0,0,
7.719,0,0,0,0,
7.719,0,0,0,0,
7.752,0,0,0,0,
7.753,0,0,0,0,
7.753,0,0,0,0,
7.754,0,0,0,0,
7.789,0,0,0,0,
7.79,0,0,0,0,
7.791,0,0,0,0,
7.795,0,0,0,0,
7.828,0,0,0,0,
7.829,0,0,0,0,
7.83,0,0,0,0,
7.834,0,0,0,0,
7.868,0,0,0,0,
7.868,0,0,0,0,
7.869,0,0,0,0,
7.874,0,0,0,0,
7.909,0,0,0,0,
7.91,0,0,0,0,
7.91,0,0,0,0,
7.911,0,0,0,0,
7.945,0,0,0,0,
7.945,0,0,0,0,
7.946,0,0,0,0,
7.951,0,0,0,0,
7.984,0,0,0,0,
7.985,0,0,0,0,
7.985,0,0,0,0,
7.985,0,0,0,0,
8.019,0,0,0,0,
8.02,0,0,0,0,
8.02,0,0,0,0,
8.028,0,0,0,0,
8.061,0,0,0,0,
8.066,0,0,0,0,
8.066,0,0,0,0,
8.096,0,0,0,0,
8.097,0,0,0,0,
8.097,0,0,0,0,
8.104,0,0,0,0,
8.137,0,0,0,0,
8.138,0,0,0,0,
8.139,0,0,0,0,
8.139,0,0,0,0,
8.172,0,0,0,0,
8.172,0,0,0,0,
8.173,0,0,0,0,
8.179,0,0,0,0,
8.212,0,0,0,0,
8.212,0,0,0,0,
8.213,0,0,0,0,
8.213,0,0,0,0,
8.246,0,0,0,0,
8.246,0,0,0,0,
8.247,0,0,0,0,
8.253,0,0,0,0,
8.263,0,0,0,0,
8.315,0,0,0,0,
8.315,0,0,0,0,
8.316,0,0,0,0,
8.317,0,0,0,0,
8.317,0,0,0,0,
8.323,0,0,0,0,
8.33,0,0,0,0,
8.363,0,0,0,0,
8.364,0,0,0,0,
8.364,0,0,0,0,
8.364,0,0,0,0,
8.4,0,0,0,0,
8.4,0,0,0,0,
8.4,0,0,0,0,
8.404,0,0,0,0,
8.437,0,0,0,0,
8.437,0,0,0,0,
8.438,0,0,0,0,
8.439,0,0,0,0,
8.472,0,0,0,0,
8.472,0,0,0,0,
8.473,0,0,0,0,
8.48,0,0,0,0,
8.513,0,0,0,0,
8.513,0,0,0,0,
8.514,0,0,0,0,
8.518,0,0,0,0,
8.552,0,0,0,0,
8.552,0,0,0,0,
8.553,0,0,0,0,
8.554,0,0,0,0,
8.589,0,0,0,0,
8.59,0,0,0,0,
8.591,0,0,0,0,
8.591,0,0,0,0,
8.625,0,0,0,0,
8.625,0,0,0,0,
8.625,0,0,0,0,
8.633,0,0,0,0,
8.665,0,0,0,0,
8.665,0,0,0,0,
8.666,0,0,0,0,
8.666,0,0,0,0,
8.701,0,0,0,0,
8.701,0,0,0,0,
8.702,0,0,0,0,
8.709,0,0,0,0,
8.743,0,0,0,0,
8.743,0,0,0,0,
8.743,0,0,0,0,
8.744,0,0,0,0,
8.78,0,0,0,0,
8.78,0,0,0,0,
8.781,0,0,0,0,
8.786,0,0,0,0,
8.819,0,0,0,0,
8.819,0,0,0,0,
8.82,0,0,0,0,
8.821,0,0,0,0,
8.854,0,0,0,0,
8.854,0,0,0,0,
8.855,0,0,0,0,
8.862,0,0,0,0,
8.911,0,0,0,0,
8.912,0,0,0,0,
