Time,Sensor1,Sensor2,Sensor3,Sensor4
2.656,0,0,0,0,
2.656,0,0,0,0,
2.662,0,0,0,0,
2.694,0,0,0,0,
2.694,0,0,0,0,
2.694,0,0,0,0,
2.701,0,0,0,0,
2.708,0,0,0,0,
2.74,0,0,0,0,
2.741,0,0,0,0,
2.741,0,0,0,0,
2.773,0,0,0,0,
2.773,0,0,0,0,
2.774,0,0,0,0,
2.774,0,0,0,0,
2.801,0,0,0,0,
2.801,0,0,0,0,
2.801,0,0,0,0,
2.834,0,0,0,0,
2.835,0,0,0,0,
2.835,0,0,0,0,
2.839,0,0,0,0,
2.872,0,0,0,0,
2.872,0,0,0,0,
2.873,0,0,0,0,
2.873,0,0,0,0,
2.906,0,0,0,0,
2.906,0,0,0,0,
2.907,0,0,0,0,
2.939,0,0,0,0,
2.939,0,0,0,0,
2.939,0,0,0,0,
2.939,0,0,0,0,
2.971,0,0,0,0,
2.972,0,0,0,0,
2.972,0,0,0,0,
2.999,0,0,0,0,
3,0,0,0,0,
3,0,0,0,0,
3.001,0,0,0,0,
3.032,0,0,0,0,
3.032,0,0,0,0,
3.032,0,0,0,0,
3.064,0,0,0,0,
3.064,0,0,0,0,
3.065,0,0,0,0,
3.065,0,0,0,0,
3.096,0,0,0,0,
3.096,0,0,0,0,
3.096,0,0,0,0,
3.104,0,0,0,0,
3.135,0,0,0,0,
3.136,0,0,0,0,
3.136,0,0,0,0,
3.136,0,0,0,0,
3.168,0,0,0,0,
3.168,0,0,0,0,
3.169,0,0,0,0,
3.202,0,0,0,0,
3.202,0,0,0,0,
3.202,0,0,0,0,
3.207,0,0,0,0,
3.239,0,0,0,0,
3.24,0,0,0,0,
3.24,0,0,0,0,
3.24,0,0,0,0,
3.273,0,0,0,0,
3.276,0,0,0,0,
3.277,0,0,0,0,
3.28,0,0,0,0,
3.288,0,0,0,0,
3.32,0,0,0,0,
3.32,0,0,0,0,
3.321,0,0,0,0,
3.329,0,0,0,0,
3.36,0,0,0,0,
3.36,0,0,0,0,
3.361,0,0,0,0,
3.363,0,0,0,0,
3.394,0,0,0,0,
3.394,0,0,0,0,
3.395,0,0,0,0,
3.402,0,0,0,0,
3.433,0,0,0,0,
3.433,0,0,0,0,
3.434,0,0,0,0,
3.434,0,0,0,0,
3.466,0,0,0,0,
3.466,0,0,0,0,
3.467,0,0,0,0,
3.5,0,0,0,0,
3.501,0,0,0,0,
3.501,0,0,0,0,
3.502,0,0,0,0,
3.536,0,0,0,0,
3.536,0,0,0,0,
3.537,0,0,0,0,
3.544,0,0,0,0,
3.578,0,0,0,0,
3.578,0,0,0,0,
3.578,0,0,0,0,
3.582,0,0,0,0,
3.589,0,0,0,0,
3.621,0,0,0,0,
3.621,0,0,0,0,
3.621,0,0,0,0,
3.628,0,0,0,0,
3.66,0,0,0,0,
3.66,0,0,0,0,
3.685,0,0,0,0,
3.686,0,0,0,0,
3.686,0,0,0,0,
3.687,0,0,0,0,
3.693,0,0,0,0,
3.726,0,0,0,0,
3.726,0,0,0,0,
3.727,0,0,0,0,
3.727,0,0,0,0,
3.76,0,0,0,0,
3.76,0,0,0,0,
3.76,0,0,0,0,
3.767,0,0,0,0,
3.799,0,0,0,0,
3.8,0,0,0,0,
3.801,0,0,0,0,
3.805,0,0,0,0,
3.839,0,0,0,0,
3.839,0,0,0,0,
3.839,0,0,0,0,
3.843,0,0,0,0,
3.876,0,0,0,0,
3.876,0,0,0,0,
3.877,0,0,0,0,
3.881,0,0,0,0,
3.914,0,0,0,0,
3.914,0,0,0,0,
3.915,0,0,0,0,
3.915,0,0,0,0,
3.948,0,0,0,0,
3.948,0,0,0,0,
3.949,0,0,0,0,
3.955,0,0,0,0,
3.988,0,0,0,0,
3.988,0,0,0,0,
3.988,0,0,0,0,
3.989,0,0,0,0,
4.011,0,0,0,0,
4.012,0,0,0,0,
4.012,0,0,0,0,
4.019,0,0,0,0,
4.051,0,0,0,0,
4.052,0,0,0,0,
4.052,0,0,0,0,
4.052,0,0,0,0,
4.085,0,0,0,0,
