Time,X,Y,Type
25.714,1361,333, 0
25.718,1344,326, 0
25.726,1273,298, 0
25.734,1245,287, 0
25.742,1160,256, 0
25.75,1127,243, 0
25.758,1037,210, 0
25.766,1001,193, 0
25.774,959,176, 0
25.782,843,139, 0
25.79,784,123, 0
25.798,626,97, 0
25.806,544,86, 0
25.814,451,81, 0
25.822,222,71, 0
25.83,106,69, 0
25.838,-155,67, 0
25.846,-116,70, 0
25.854,-238,83, 0
25.862,-90,91, 0
25.87,-74,102, 0
25.878,-118,125, 0
25.886,-25,135, 0
25.894,-10,141, 0
25.902,0,159, 0
25.91,11,169, 0
25.918,95,202, 0
25.926,155,216, 0
25.934,347,243, 0
25.942,464,252, 0
25.95,602,259, 0
25.958,960,267, 0
25.966,1159,267, 0
25.974,1632,258, 0
25.982,1880,245, 0
25.99,2139,233, 0
25.998,2468,197, 0
26.005,2186,177, 0
26.014,2458,130, 0
26.021,2159,108, 0
26.03,2366,69, 0
26.037,2098,57, 0
26.046,2073,48, 0
26.053,2161,43, 0
26.061,1984,44, 0
26.069,1959,51, 0
26.077,1941,76, 0
26.085,1912,90, 0
26.093,1822,156, 0
26.101,1756,193, 0
26.109,1547,282, 0
26.117,1431,327, 0
26.125,1304,371, 0
26.133,1010,465, 0
26.141,868,505, 0
26.149,585,581, 0
26.157,470,611, 0
26.165,373,636, 0
26.173,230,671, 0
26.181,206,679, 0
26.189,197,682, 0
26.197,210,685, 0
26.205,292,678, 0
26.213,366,668, 0
26.221,457,652, 0
26.229,704,608, 0
26.237,832,584, 0
26.245,1108,531, 0
26.253,1232,506, 0
26.261,1344,483, 0
26.269,1537,439, 0
26.277,1596,427, 0
26.285,1636,418, 0
26.293,1674,409, 0
26.309,1627,417, 0
26.317,1585,425, 0
26.325,1418,458, 0
26.333,1319,476, 0
26.341,1205,495, 0
26.349,921,535, 0
26.357,777,551, 0
26.365,472,584, 0
26.373,336,596, 0
26.381,214,605, 0
26.389,6,617, 0
26.397,-54,621, 0
26.405,-81,623, 0
26.413,-9,623, 0
26.421,-3,623, 0
26.429,6,615, 0
26.437,17,610, 0
26.445,65,588, 0
26.453,94,577, 0
26.461,122,563, 0
26.469,194,531, 0
26.477,217,520, 0
26.485,262,492, 0
26.493,271,487, 0
26.501,278,483, 0
26.509,282,476, 0
26.517,282,476, 0
26.525,271,476, 0
26.533,255,477, 0
26.541,175,492, 0
26.549,129,504, 0
26.557,78,516, 0
26.565,-48,548, 0
26.573,-54,564, 0
26.581,-111,601, 0
26.589,-31,617, 0
26.597,-24,628, 0
26.605,-33,656, 0
26.613,-4,663, 0
26.621,1,680, 0
26.629,7,686, 0
26.637,19,692, 0
26.645,74,707, 0
26.653,114,714, 0
26.661,247,728, 0
26.669,318,732, 0
26.677,501,735, 0
26.685,587,735, 0
26.693,671,734, 0
26.701,860,719, 0
26.709,934,713, 0
26.717,1003,706, 0
26.725,1125,690, 0
26.733,1154,687, 0
26.741,1180,682, 0
26.749,1183,682, 0
26.757,1182,682, 0
26.765,1151,687, 0
26.773,1119,694, 0
26.781,1001,720, 0
26.789,939,732, 0
26.796,870,747, 0
26.804,711,785, 0
26.812,647,802, 0
26.82,528,839, 0
26.828,497,853, 0
26.836,477,860, 0
26.844,454,871, 0
26.852,453,872, 0
26.86,460,873, 0
26.868,473,873, 0
26.876,492,869, 0
26.884,586,847, 0
26.892,634,835, 0
26.9,764,802, 0
26.908,823,784, 0
26.916,956,739, 0
26.924,1010,718, 0
26.932,1060,697, 0
26.94,1167,646, 0
26.948,1201,626, 0
26.956,1264,580, 0
26.964,1276,569, 0
26.972,1284,559, 0
26.98,1289,536, 0
26.988,1289,529, 0
26.996,1268,512, 0
27.004,1253,506, 0
27.012,1228,498, 0
27.02,1130,482, 0
27.028,1075,476, 0
27.036,921,472, 0
27.044,842,472, 0
27.052,649,472, 0
27.06,559,475, 0
27.068,467,482, 0
27.076,269,508, 0
27.084,186,524, 0
27.092,108,543, 0
27.1,-38,593, 0
27.108,-50,620, 0
27.116,-82,683, 0
27.124,-18,708, 0
27.132,-17,778, 0
27.14,4,807, 0
27.148,18,840, 0
27.156,82,929, 0
27.164,122,969, 0
27.172,236,1064, 0
27.18,293,1106, 0
27.188,353,1122, 0
27.196,493,1178, 0
27.204,550,1121, 0
27.212,662,1179, 0
27.22,702,1121, 0
27.228,766,1176, 0
27.236,781,1118, 0
27.244,790,1117, 0
27.252,789,1168, 0
27.26,776,1117, 0
27.268,754,1117, 0
27.276,668,1169, 0
27.284,619,1116, 0
27.292,466,1159, 0
27.3,382,1110, 0
27.308,159,1131, 0
27.316,42,1095, 0
27.324,-231,1099, 0
27.332,-132,1079, 0
27.34,-135,1078, 0
27.348,-275,1055, 0
27.356,-117,1037, 0
27.364,-108,1012, 0
27.372,-197,940, 0
27.38,-69,901, 0
27.388,-109,804, 0
27.396,-30,761, 0
27.404,-17,711, 0
27.412,-12,589, 0
27.42,7,534, 0
27.428,59,396, 0
27.436,95,334, 0
27.444,140,274, 0
27.452,261,141, 0
27.46,327,84, 0
27.468,484,-36, 0
27.476,560,-51, 0
27.484,734,-104, 0
27.492,809,-41, 0
27.5,881,-37, 0
27.508,1022,-70, 0
27.516,1070,-24, 0
27.524,1150,-37, 0
27.532,1164,-6, 0
27.54,1166,0, 0
27.548,1164,0, 0
27.556,1159,4, 0
27.564,1149,8, 0
27.572,1101,31, 0
27.58,1067,45, 0
27.588,958,97, 0
27.595,903,123, 0
27.604,758,198, 0
27.612,691,234, 0
27.62,624,273, 0
27.627,479,363, 0
27.636,420,405, 0
27.644,306,496, 0
27.652,269,530, 0
27.66,242,559, 0
27.667,204,621, 0
27.676,199,635, 0
27.684,200,663, 0
27.691,207,670, 0
27.699,219,677, 0
27.707,264,688, 0
27.715,294,690, 0
27.723,389,690, 0
27.731,433,687, 0
27.739,475,684, 0
27.747,573,675, 0
27.755,604,671, 0
27.763,651,666, 0
27.771,659,665, 0
27.779,658,666, 0
27.787,649,673, 0
27.795,642,677, 0
27.803,611,697, 0
27.811,590,707, 0
27.819,564,720, 0
27.827,486,767, 0
27.835,454,787, 0
27.843,421,812, 0
27.851,347,873, 0
27.859,321,897, 0
27.867,272,952, 0
27.875,260,969, 0
27.883,239,1006, 0
27.891,235,1013, 0
27.899,233,1018, 0
27.907,234,1018, 0
27.915,238,1015, 0
27.923,242,1011, 0
27.931,260,991, 0
27.939,268,980, 0
27.947,291,937, 0
27.955,300,915, 0
27.963,310,884, 0
27.971,327,804, 0
27.979,333,770, 0
27.987,335,673, 0
27.995,330,633, 0
28.003,323,591, 0
28.011,289,491, 0
28.019,270,451, 0
28.027,215,352, 0
28.035,190,312, 0
28.043,165,274, 0
28.051,106,185, 0
28.059,86,153, 0
28.067,52,81, 0
28.075,45,62, 0
28.083,35,14, 0
28.091,34,4, 0
28.099,34,-5, 0
28.107,36,-12, 0
28.115,39,-3, 0
28.123,43,-2, 0
28.131,46,0, 0
28.139,52,0, 0
28.147,68,9, 0
28.155,78,15, 0
28.163,108,38, 0
28.171,122,50, 0
28.179,139,64, 0
28.187,192,111, 0
28.195,211,131, 0
28.203,253,186, 0
28.211,263,206, 0
28.219,272,229, 0
28.227,283,290, 0
28.235,283,312, 0
28.243,258,386, 0
28.251,238,415, 0
28.259,168,492, 0
28.267,130,523, 0
28.275,86,555, 0
28.283,-40,621, 0
28.291,-60,646, 0
28.299,-146,692, 0
28.307,-66,704, 0
28.315,-64,712, 0
28.323,-135,722, 0
28.331,-49,722, 0
28.339,-90,716, 0
28.347,-21,712, 0
28.355,-34,694, 0
28.363,-5,686, 0
28.371,-3,679, 0
28.379,4,654, 0
28.387,11,641, 0
28.395,25,626, 0
28.403,88,571, 0
28.411,128,547, 0
28.419,249,485, 0
28.427,312,458, 0
28.435,479,400, 0
28.443,563,371, 0
28.451,754,317, 0
28.459,840,297, 0
28.467,926,277, 0
28.475,1097,246, 0
28.483,1158,236, 0
28.49,1211,230, 0
28.498,1293,221, 0
28.506,1305,221, 0
28.514,1316,225, 0
28.522,1316,229, 0
28.53,1310,236, 0
28.538,1265,268, 0
28.546,1227,291, 0
28.554,1104,355, 0
28.562,1040,386, 0
28.57,969,421, 0
28.578,800,509, 0
28.586,726,549, 0
28.594,572,646, 0
28.602,515,688, 0
28.61,466,730, 0
28.618,386,827, 0
28.626,368,864, 0
28.634,353,950, 0
28.642,355,975, 0
28.651,387,1027, 0
28.658,407,1040, 0
28.666,433,1053, 0
28.674,527,1080, 0
28.682,575,1087, 0
28.69,716,1093, 0
28.698,787,1083, 0
28.706,962,1086, 0
28.714,1043,1079, 0
28.722,1124,1079, 0
28.73,1297,1075, 0
28.738,1365,1069, 0
28.746,1420,1063, 0
28.754,1514,1048, 0
28.762,1532,1044, 0
28.77,1543,1039, 0
28.778,1543,1038, 0
28.786,1534,1035, 0
28.794,1472,1028, 0
28.802,1323,1014, 0
28.81,1236,1007, 0
28.818,1138,1001, 0
28.826,892,988, 0
28.834,773,981, 0
28.842,504,969, 0
28.85,384,962, 0
28.858,268,955, 0
28.866,44,938, 0
28.874,-41,929, 0
28.882,-71,921, 0
28.89,-118,895, 0
28.898,-27,887, 0
28.906,-38,863, 0
28.914,-2,856, 0
28.922,0,848, 0
28.93,26,822, 0
28.938,52,809, 0
28.946,152,772, 0
28.954,206,758, 0
28.962,364,727, 0
28.97,447,714, 0
28.978,534,705, 0
28.986,750,686, 0
28.994,853,679, 0
29.002,1082,671, 0
29.01,1185,671, 0
29.018,1279,671, 0
29.026,1476,678, 0
29.034,1553,684, 0
29.042,1689,705, 0
29.05,1729,716, 0
29.058,1757,726, 0
29.066,1798,755, 0
29.074,1803,764, 0
29.082,1806,793, 0
29.09,1803,804, 0
29.098,1797,816, 0
29.106,1774,849, 0
29.114,1764,861, 0
29.122,1733,900, 0
29.13,1725,910, 0
29.138,1718,920, 0
29.146,1703,943, 0
29.154,1700,951, 0
29.162,1694,965, 0
29.17,1692,971, 0
29.178,1688,982, 0
29.186,1685,987, 0
29.194,1681,991, 0
29.202,1664,1003, 0
29.21,1653,1008, 0
29.218,1610,1019, 0
29.226,1583,1024, 0
29.234,1550,1027, 0
29.242,1441,1031, 0
29.25,1390,1031, 0
29.258,1258,1028, 0
29.265,1203,1024, 0
29.274,1148,1020, 0
29.282,1034,1006, 0
29.289,994,999, 0
29.298,921,982, 0
29.305,909,976, 0
29.314,900,970, 0
29.321,891,951, 0
29.329,891,942, 0
29.337,910,911, 0
29.345,926,896, 0
29.353,1001,849, 0
29.361,1043,828, 0
29.369,1093,808, 0
29.377,1230,763, 0
29.385,1298,744, 0
29.393,1462,706, 0
29.401,1536,691, 0
29.409,1614,678, 0
29.417,1785,654, 0
