Time,TopLeft,BottomLeft,BottomRight,TopRight
9,173,267,146,229
10,174,266,146,230
11,174,266,146,229
12,174,266,146,229
13,174,266,146,229
14,174,267,146,229
15,175,267,146,227
16,174,267,146,225
17,174,267,146,227
18,174,267,146,226
19,174,267,146,228
20,173,267,146,228
21,173,267,146,227
22,174,265,145,225
23,175,264,145,226
24,175,264,145,226
25,175,265,145,226
26,176,264,145,226
27,175,264,146,226
28,176,265,146,226
29,175,265,145,226
30,175,265,146,226
31,175,265,146,226
32,175,265,146,226
33,175,265,146,226
34,175,265,146,226
35,175,265,146,226
36,175,265,145,226
37,175,265,146,226
38,175,265,146,226
39,175,265,146,226
40,175,265,146,226
41,175,265,146,227
42,175,265,145,226
43,175,265,146,227
44,175,265,145,227
45,176,265,146,227
46,175,264,146,227
47,175,264,146,226
48,175,264,146,227
49,175,265,146,227
50,175,265,146,227
51,176,265,145,227
52,175,265,145,227
53,175,265,145,226
54,175,265,145,226
55,175,265,146,227
56,175,265,146,227
57,175,265,145,227
58,175,265,145,227
59,175,265,145,227
60,175,265,146,227
61,176,265,145,227
62,176,265,145,227
63,176,265,145,227
64,175,265,145,227
65,174,265,145,227
66,174,265,145,227
67,175,265,146,227
68,175,265,146,226
69,175,264,146,226
70,176,265,146,226
71,175,265,145,226
72,176,265,146,226
73,175,265,145,226
74,175,265,146,226
75,175,265,145,227
76,175,265,145,227
77,175,265,145,227
78,175,265,145,226
79,175,265,145,226
80,176,265,145,227
81,175,265,146,227
82,176,265,146,227
83,176,265,145,227
84,176,265,146,227
85,175,265,145,227
86,176,265,146,227
87,176,265,146,227
88,176,265,145,227
89,176,265,145,227
90,176,265,146,227
91,176,265,146,227
92,176,265,146,227
93,176,265,145,227
94,176,265,145,227
95,177,265,146,227
96,176,265,145,227
97,177,265,145,227
98,177,265,146,227
99,177,265,145,228
100,177,265,146,227
101,176,265,146,227
102,177,265,145,227
103,176,265,145,227
104,176,265,145,227
105,176,265,146,227
106,176,265,145,227
107,176,265,145,227
108,176,265,146,227
109,176,266,145,227
110,176,265,145,227
111,176,266,145,227
112,176,265,145,228
113,176,266,145,227
114,176,266,146,227
115,176,266,145,227
116,176,265,146,227
117,176,265,146,227
118,176,266,146,227
119,176,266,146,227
120,176,265,145,227
121,176,265,146,227
122,176,266,146,227
123,176,266,146,227
124,176,266,146,227
125,176,266,146,228
126,176,266,146,227
127,176,266,146,227
128,176,266,146,228
129,176,266,146,227
130,176,266,146,228
131,177,266,146,228
132,176,266,146,228
133,177,266,146,228
134,176,266,145,228
135,176,266,146,227
136,176,266,146,228
137,176,266,146,228
138,176,266,146,227
139,176,266,146,228
140,176,266,146,228
141,176,267,146,228
142,177,266,145,228
143,176,266,146,228
144,176,267,146,228
145,176,267,146,228
146,176,267,145,228
147,176,267,146,228
148,176,266,146,228
149,176,267,146,228
150,176,266,146,228
151,177,266,146,228
152,176,267,146,227
153,176,267,146,228
154,176,267,146,228
155,176,266,146,228
156,176,267,146,228
157,176,267,146,228
158,176,267,146,228
159,177,267,146,228
160,176,267,146,228
161,176,267,146,228
162,176,267,146,227
163,176,266,146,228
164,176,266,146,227
165,176,266,146,228
166,176,267,146,227
167,176,267,146,228
168,176,267,146,227
169,176,267,146,228
170,176,267,146,228
171,176,267,146,228
172,176,267,146,228
173,176,267,146,228
174,176,266,146,228
175,177,267,146,228
176,176,267,146,228
177,176,267,146,228
178,176,267,146,228
179,176,267,146,228
180,177,267,145,228
181,176,267,146,228
182,176,267,146,228
183,176,267,145,228
184,176,267,146,227
185,176,267,145,228
186,177,267,146,228
187,176,267,146,228
188,176,267,146,228
189,176,267,146,228
190,177,267,146,228
191,177,266,146,228
192,177,266,146,228
193,177,267,146,228
194,177,266,146,228
195,177,266,146,228
196,176,266,146,228
197,176,267,146,228
198,176,267,146,228
199,176,267,146,228
200,176,267,146,228
201,176,266,146,228
202,176,267,146,228
203,176,266,145,228
204,176,267,146,228
205,177,267,145,228
206,177,267,146,228
207,177,267,146,228
208,176,267,146,228
209,177,267,146,228
210,176,267,146,228
211,177,267,146,228
212,176,267,146,228
213,177,267,146,228
214,177,267,146,228
215,176,267,146,228
216,177,267,146,228
217,177,267,146,228
218,177,267,146,228
219,176,267,146,228
220,177,268,146,228
221,177,267,146,228
222,177,267,146,228
223,177,267,146,228
224,177,268,146,228
225,176,267,146,228
226,177,267,146,228
227,177,267,146,228
228,177,267,146,228
229,177,267,146,228
230,177,267,146,228
231,177,267,146,228
232,177,268,146,228
233,176,267,146,228
234,177,267,145,228
235,177,267,145,228
236,177,267,146,228
237,177,268,146,228
238,177,267,146,228
239,177,267,146,228
240,177,267,146,228
241,177,267,146,228
