Time,Sensor1,Sensor2,Sensor3,Sensor4
0,623,685,521,514
1,623,684,521,514
2,623,683,522,515
3,623,682,521,515
4,623,684,521,515
5,623,682,521,514
6,623,682,521,515
7,623,683,521,515
8,623,682,522,515
9,623,682,522,515
10,623,683,521,515
11,623,684,522,515
12,623,685,522,516
13,618,649,509,502
14,614,526,486,479
15,615,529,491,484
16,616,532,492,486
17,617,533,494,487
18,617,535,495,489
19,617,535,496,489
20,618,535,497,491
21,618,537,497,491
22,618,538,496,490
23,618,537,497,491
24,619,538,499,492
25,619,538,500,494
26,619,539,501,495
27,618,541,502,496
28,617,711,502,496
29,618,744,504,497
30,618,728,506,499
31,618,721,506,500
32,618,717,506,499
33,619,712,507,500
34,619,709,508,501
35,619,709,508,502
36,620,706,508,502
37,620,704,508,502
38,620,702,509,502
39,620,701,510,503
40,620,698,509,503
41,620,696,509,502
42,620,696,508,502
43,620,695,509,502
44,620,694,508,501
45,621,693,508,502
46,621,695,509,503
47,621,696,509,502
48,621,696,508,501
49,621,694,509,503
50,621,693,510,503
51,621,692,511,504
52,621,692,512,505
53,621,689,512,506
54,621,688,513,506
55,621,688,513,506
56,621,689,515,508
57,621,687,515,509
58,621,688,516,509
59,621,688,516,509
60,621,687,516,509
61,622,687,515,509
62,622,686,515,509
63,622,688,516,509
64,622,687,516,510
65,622,689,516,510
66,622,688,517,510
67,622,689,517,511
68,622,689,517,511
69,622,689,518,512
70,622,689,518,512
71,622,688,518,512
72,622,686,518,512
73,622,686,518,512
74,622,685,519,512
75,622,685,519,512
76,622,685,519,512
77,622,685,518,512
78,622,684,519,512
79,622,684,519,513
80,622,684,519,512
81,622,684,519,512
82,622,683,519,512
83,622,684,518,512
84,622,683,519,512
85,622,683,519,513
86,623,682,520,513
87,623,683,520,513
88,623,683,520,513
89,623,682,520,513
90,623,682,520,513
91,623,680,519,513
92,623,681,520,513
93,623,680,519,512
94,623,680,519,512
95,623,680,519,513
96,623,682,522,515
97,623,683,523,516
98,623,680,523,516
99,623,682,522,516
100,623,682,523,516
101,623,680,522,516
102,623,680,522,516
103,623,681,522,516
104,623,683,523,516
105,623,683,524,517
106,623,681,526,519
107,623,682,526,519
108,623,682,526,520
109,623,681,526,520
110,623,680,526,520
111,623,679,526,520
112,623,680,527,520
113,623,680,526,520
114,623,679,526,520
115,623,681,526,520
116,623,682,526,520
117,623,680,526,520
118,623,680,526,520
119,624,681,526,520
120,623,679,527,520
121,623,681,527,520
122,623,682,527,521
123,623,681,528,521
124,623,680,528,521
125,623,680,527,521
126,623,678,528,521
127,623,678,528,521
128,624,678,528,521
129,624,678,528,521
130,624,679,528,521
131,624,679,528,521
132,624,679,528,521
133,624,678,528,521
134,624,677,528,522
135,624,679,528,522
136,624,679,528,522
137,624,677,528,522
138,624,678,528,522
139,623,679,529,522
140,624,680,529,522
141,624,679,529,522
142,624,680,529,522
143,624,680,529,522
144,624,680,528,522
145,624,680,529,522
146,624,680,529,522
147,624,680,529,522
148,624,679,529,523
149,624,681,530,523
150,624,681,530,523
151,624,681,530,523
152,624,681,530,523
153,624,680,530,524
154,624,679,530,524
155,624,679,530,524
156,624,680,530,524
157,624,679,530,523
158,624,679,530,523
159,624,679,530,523
160,624,679,530,523
161,624,679,530,523
162,624,679,530,524
163,624,680,530,524
164,624,681,530,524
165,624,680,530,524
166,624,680,531,524
167,624,680,530,524
168,624,680,530,524
169,624,680,530,524
170,624,681,530,524
171,624,680,530,524
172,624,682,530,523
173,624,681,530,523
174,624,682,529,523
175,624,682,529,522
176,624,681,529,523
177,623,680,528,522
178,623,680,527,520
179,622,676,512,506
180,623,678,517,510
181,623,678,517,510
182,624,678,518,511
183,624,679,518,512
184,624,680,519,512
185,624,680,519,512
186,624,679,519,512
187,624,678,520,513
188,624,678,520,514
189,624,678,520,514
190,624,679,522,515
191,624,680,522,515
192,624,678,522,516
193,624,679,522,516
194,624,679,522,515
195,624,679,522,516
196,624,678,523,516
197,624,678,523,517
198,624,679,523,516
199,624,678,523,516
200,624,678,523,516
201,624,677,524,517
202,624,677,523,517
203,624,677,523,517
204,624,676,524,517
205,624,677,524,517
206,624,677,524,517
207,624,678,524,518
208,624,678,524,517
209,625,677,525,518
210,625,678,525,519
211,624,678,525,519
212,624,679,526,519
213,624,680,526,520
214,624,679,526,519
215,624,678,526,520
216,624,679,526,520
217,624,678,526,520
218,624,677,526,519
219,624,679,526,519
220,624,678,527,520
221,625,677,527,520
222,625,679,527,520
223,625,679,527,520
224,625,679,527,521
225,625,679,527,521
226,625,678,527,520
227,625,678,527,521
228,624,679,527,521
229,624,678,527,520
230,625,678,527,521
231,625,679,527,520
232,624,677,527,520
233,624,677,527,520
234,625,678,527,520
235,625,677,527,521
236,625,677,527,520
237,625,676,527,521
238,625,677,527,521
239,625,677,528,521
240,625,676,528,521
241,625,678,528,521
242,625,678,528,521
243,625,677,528,522
244,625,677,528,522
245,625,678,528,522
246,625,678,528,522
247,625,679,528,522
248,625,678,529,522
249,625,679,529,522
250,625,679,530,523
251,625,679,530,524
252,625,678,530,524
253,625,679,531,524
254,625,679,531,524
255,625,679,531,524
256,625,678,530,524
257,625,679,531,524
258,625,678,530,524
259,625,678,530,524
260,625,680,531,524
261,625,679,531,524
262,625,679,531,524
263,625,679,531,524
264,625,679,531,524
265,625,679,531,524
266,625,679,531,524
267,625,679,531,524
268,625,679,531,525
269,625,679,531,525
270,625,679,532,525
271,625,679,532,525
272,625,680,531,525
273,625,679,533,527
274,625,678,533,527
275,625,679,533,527
276,625,679,533,527
277,625,678,533,527
278,625,678,533,527
279,625,678,533,526
280,625,678,533,526
281,625,678,533,526
282,625,678,533,527
283,625,678,533,527
284,625,679,533,526
285,625,679,533,526
286,625,679,534,527
287,625,679,534,527
288,625,679,533,527
289,625,680,534,527
290,625,680,534,527
291,625,680,533,527
292,625,680,534,527
293,625,679,534,527
294,625,679,534,527
295,625,679,534,527
296,625,678,534,527
297,625,679,534,527
298,625,679,534,527
299,625,679,534,527
300,625,679,535,528
301,625,679,535,528
302,625,678,535,528
303,625,679,534,528
304,625,679,535,528
305,625,680,535,528
306,625,680,535,528
307,625,680,535,528
308,625,680,535,528
309,625,680,535,528
310,625,679,535,528
311,625,680,534,528
312,625,680,535,528
313,625,679,535,528
314,625,679,535,528
315,625,679,534,528
316,625,679,534,527
317,625,680,534,528
318,625,679,534,528
319,626,680,534,528
320,626,684,534,528
321,626,683,534,528
322,626,682,534,527
323,626,681,534,528
324,626,682,535,528
325,626,683,535,529
326,626,682,535,529
327,626,682,535,529
328,626,683,535,528
329,626,683,535,529
330,626,683,536,529
331,626,683,536,529
332,626,683,536,529
333,626,684,536,529
334,626,683,536,529
335,626,684,536,529
336,626,684,536,530
337,626,683,536,530
338,626,683,536,529
339,626,683,536,529
340,626,683,536,529
341,626,683,536,529
342,626,684,535,529
343,626,684,535,529
344,626,684,535,528
345,626,684,535,528
346,626,684,535,528
347,626,684,534,528
348,626,683,534,528
349,626,683,534,528
350,626,683,535,528
351,626,683,535,528
352,626,684,535,528
353,626,684,535,528
354,626,683,535,528
355,626,683,535,528
356,626,684,535,528
357,626,683,535,528
358,626,683,535,529
359,626,684,535,528
360,626,684,535,529
361,626,684,535,528
362,626,684,535,528
363,626,683,535,528
364,626,684,534,528
365,626,682,535,528
366,626,683,535,529
367,626,683,535,529
368,626,684,535,529
369,626,684,535,529
370,626,685,535,529
371,626,685,535,529
372,626,684,536,529
373,625,684,530,523
374,625,684,530,523
375,625,685,530,524
376,625,686,531,524
377,626,686,531,524
378,626,686,531,524
379,626,686,530,524
380,626,685,531,524
381,626,685,530,524
382,626,685,530,524
383,626,686,530,524
384,626,686,530,524
385,626,685,530,524
386,626,685,531,524
387,626,684,531,524
388,626,685,531,524
389,626,685,531,524
390,624,684,529,522
391,625,685,528,522
392,625,684,529,522
393,625,683,530,523
394,626,683,530,523
395,626,682,530,524
396,626,682,531,524
397,626,683,531,524
398,626,683,531,525
399,626,683,531,524
400,626,684,531,525
401,626,683,532,525
402,626,683,531,524
403,626,683,531,525
404,626,683,531,525
405,626,683,532,525
406,626,684,532,526
407,626,683,532,525
408,626,682,532,525
409,626,682,532,525
410,626,682,532,525
411,626,684,532,525
412,626,684,532,526
413,626,683,532,525
414,626,684,532,526
415,626,685,533,526
416,626,684,532,526
417,626,684,533,526
418,626,683,533,526
419,626,683,532,526
420,626,683,532,526
421,626,683,532,526
422,626,683,533,526
423,626,683,533,526
424,626,683,533,526
425,626,684,533,526
426,626,684,533,527
427,627,684,533,527
428,626,683,534,527
429,626,683,534,527
430,626,683,534,527
431,626,683,534,527
432,627,682,534,527
433,626,682,534,527
434,626,682,534,527
435,626,683,534,528
436,626,683,534,527
437,626,683,534,527
438,625,682,531,525
439,626,683,532,526
440,626,682,532,526
441,626,683,532,526
442,626,683,532,526
443,626,683,532,526
444,626,683,533,526
445,626,683,533,526
446,626,683,532,526
447,626,683,532,526
448,626,683,532,526
449,626,684,533,526
450,626,684,533,526
451,626,684,533,526
452,627,683,533,526
453,626,683,533,527
454,627,683,533,527
455,626,683,533,527
456,622,688,520,513
457,623,713,496,490
458,634,715,532,525
459,624,709,519,513
460,619,706,514,507
461,618,678,504,497
462,623,687,518,511
463,618,696,525,518
464,629,697,526,520
465,621,685,520,513
466,626,708,505,499
467,627,689,505,498
468,625,699,526,520
469,630,716,501,495
470,630,715,514,507
471,610,659,488,482
472,610,656,496,489
473,611,657,498,491
474,612,659,500,493
475,613,660,501,495
476,613,660,502,496
477,613,659,504,498
478,613,659,506,499
479,614,659,507,500
480,614,659,507,500
481,614,660,506,500
482,614,660,507,500
483,614,659,507,501
484,615,660,507,501
485,615,662,508,501
486,615,662,508,502
487,615,662,509,503
488,615,661,509,503
489,615,660,509,503
490,615,660,510,503
491,616,662,510,504
492,616,663,510,504
493,616,663,511,504
494,616,663,511,505
495,616,662,512,505
496,616,662,512,505
497,616,662,512,505
498,617,663,512,505
499,617,663,512,506
500,617,664,512,506
501,617,664,513,506
502,617,664,513,506
503,617,664,514,507
504,617,664,514,508
505,617,662,514,508
506,618,663,514,508
507,618,664,515,508
508,618,665,514,508
509,618,665,514,508
510,618,666,515,508
511,618,666,514,508
512,618,666,515,508
513,618,666,515,508
514,618,666,515,508
515,618,666,514,508
516,618,665,515,508
517,619,665,515,508
518,618,665,516,509
519,619,664,515,509
520,619,664,516,509
521,619,664,516,509
522,619,663,516,510
523,619,664,516,510
524,619,664,517,510
525,620,665,517,510
526,620,665,516,510
527,620,665,517,510
528,620,666,516,510
529,620,666,517,510
530,620,666,517,511
531,620,667,517,511
532,620,666,517,511
533,620,666,517,510
534,620,666,517,511
535,621,666,517,511
536,621,666,518,511
537,621,666,518,511
538,621,666,518,512
539,621,667,518,512
540,621,667,518,512
541,621,667,519,512
542,621,666,518,512
543,621,666,519,512
544,621,666,519,512
545,621,665,519,513
546,621,665,519,513
547,621,665,520,513
548,621,665,520,513
549,621,666,520,513
550,621,666,520,513
551,621,666,520,514
552,622,665,520,514
553,622,665,520,514
554,622,665,521,514
555,621,665,521,514
556,622,666,521,514
557,622,667,521,515
558,622,667,521,515
559,622,667,522,515
560,621,668,522,515
561,622,668,522,515
562,622,667,522,515
563,622,667,522,515
564,622,667,522,515
565,622,668,525,518
566,622,668,525,518
567,622,668,525,519
568,622,668,525,519
569,622,668,525,519
570,622,668,525,518
571,622,668,525,518
572,622,668,525,518
573,622,668,525,519
574,622,668,525,519
575,622,668,525,519
576,622,669,525,518
577,622,669,526,519
578,623,668,526,519
579,622,668,526,519
580,623,669,526,519
581,622,668,526,519
582,622,668,526,520
583,622,668,526,520
584,623,668,527,520
585,623,668,527,520
586,622,668,527,520
587,623,668,526,519
588,623,667,526,520
589,623,668,526,520
590,623,668,526,520
591,623,667,526,520
592,623,668,526,520
593,623,668,526,519
594,623,668,526,520
595,623,668,526,520
596,623,669,526,520
597,623,668,527,520
598,623,669,526,520
599,623,668,527,520
600,623,668,527,520
601,623,669,527,520
602,623,669,527,520
603,623,669,527,521
604,623,669,527,521
605,623,669,527,521
606,623,669,526,520
607,623,669,527,520
608,624,669,527,520
609,624,669,526,520
610,624,669,527,520
611,624,669,527,520
612,623,669,527,520
613,623,669,527,520
614,624,670,527,520
615,623,670,527,520
616,623,670,527,521
617,624,669,527,521
618,624,669,527,521
619,624,669,528,521
620,623,670,528,521
621,623,669,528,521
622,623,670,528,521
623,624,669,528,521
624,624,669,528,521
625,624,669,528,521
626,624,670,528,521
627,624,670,528,521
628,624,670,528,521
629,624,669,528,521
630,624,668,528,521
631,624,668,528,521
632,624,669,528,521
633,624,669,528,521
634,624,670,528,521
635,624,670,528,522
636,624,671,528,522
637,624,671,528,522
638,624,670,528,522
639,624,670,528,522
640,624,671,529,522
641,624,671,529,522
642,624,671,529,522
643,624,671,528,522
644,624,671,528,522
645,624,670,529,522
646,624,671,529,522
647,624,671,529,522
648,624,671,529,522
649,624,672,528,522
650,624,672,528,521
651,624,671,528,521
652,624,671,528,521
653,624,671,528,522
654,624,671,528,522
655,624,671,529,522
656,624,670,529,522
657,624,670,529,522
658,624,669,529,523
659,624,669,529,522
660,624,670,529,522
661,624,669,528,522
662,624,670,528,522
663,624,669,528,522
664,624,667,529,522
665,624,668,528,522
666,624,669,529,522
667,624,669,529,522
668,624,672,528,522
669,624,673,528,522
670,624,674,528,522
671,624,673,528,522
672,621,671,525,518
673,622,672,526,519
674,622,671,526,519
675,622,672,526,519
676,622,672,526,519
677,623,673,526,520
678,623,673,526,520
679,623,674,526,520
680,623,673,526,520
681,623,673,527,520
682,623,674,527,520
683,623,675,527,520
684,623,674,527,521
685,623,674,528,521
686,624,673,527,521
687,624,673,528,521
688,624,673,528,521
689,624,673,528,521
690,624,672,528,521
691,624,672,528,521
692,624,673,528,521
693,624,673,528,522
694,624,673,528,522
695,624,672,528,522
696,624,672,529,522
697,624,672,529,522
698,624,672,529,522
699,624,673,529,522
700,624,674,529,522
701,624,674,528,522
702,624,674,527,520
703,624,673,527,521
704,624,672,527,521
705,624,672,527,521
706,624,671,527,520
707,624,671,527,521
708,624,672,527,521
709,624,672,527,520
710,625,673,527,521
711,625,674,528,521
712,625,673,528,521
713,624,673,528,521
714,624,673,528,521
715,624,673,528,521
716,624,673,528,521
717,624,673,528,521
718,624,673,528,521
719,624,673,528,521
720,624,674,528,522
721,624,674,528,522
722,624,674,528,521
723,624,673,527,521
724,624,673,528,521
725,625,672,528,521
726,625,672,528,522
727,625,672,528,521
728,624,672,528,522
729,624,672,528,521
730,625,672,528,521
731,625,673,528,521
732,625,673,528,521
733,625,673,528,522
734,625,673,528,522
735,625,672,528,522
736,625,673,529,522
737,625,673,529,522
738,625,674,529,522
739,625,675,529,522
740,625,675,529,522
741,625,674,529,522
742,625,674,529,523
743,625,674,529,523
744,625,675,529,522
745,625,674,529,522
746,625,675,529,522
747,625,675,529,522
748,625,675,529,523
749,625,673,529,523
750,625,674,530,523
751,625,674,529,523
752,625,674,529,523
753,625,674,530,523
754,625,674,530,523
755,625,674,530,523
756,625,675,529,523
757,625,673,529,523
758,625,674,530,523
759,625,673,530,523
760,625,673,530,523
761,625,674,529,523
762,625,675,529,523
763,625,675,529,523
764,625,675,530,523
765,625,675,530,523
766,625,675,530,523
767,625,675,530,523
768,625,675,530,523
769,625,675,530,524
770,625,675,530,524
771,625,675,530,524
772,625,676,530,524
773,625,676,530,524
774,625,676,530,523
775,625,676,530,524
776,625,676,530,524
777,625,676,530,524
778,625,677,530,523
779,625,677,530,523
780,625,677,530,524
781,625,677,531,525
782,625,677,532,525
783,625,678,532,526
784,625,677,532,525
785,625,678,532,526
786,625,678,532,526
787,625,678,532,525
788,626,678,532,526
789,625,678,532,526
790,625,678,533,527
791,626,677,532,526
792,626,678,532,526
793,626,679,533,526
794,626,680,533,526
795,625,679,533,526
796,625,679,533,526
797,625,678,533,526
798,625,678,533,526
799,626,678,532,525
800,626,678,532,526
801,626,679,532,526
802,626,679,533,526
803,626,679,533,527
804,626,679,533,527
805,626,679,534,527
806,626,679,534,528
807,626,678,534,527
808,626,678,534,527
809,626,678,534,527
810,626,678,534,527
811,626,678,534,527
812,626,678,534,528
813,626,679,534,527
814,626,679,534,527
815,626,678,534,527
816,626,677,534,527
817,626,677,534,528
818,626,679,534,528
819,626,679,534,528
820,626,678,534,527
821,626,678,534,528
822,626,678,534,528
823,626,677,534,527
824,626,677,534,527
825,626,677,534,527
826,626,678,534,527
827,626,677,534,527
828,626,678,534,527
829,626,677,534,527
830,626,678,534,527
831,626,678,534,527
832,626,677,534,528
833,626,677,534,527
834,626,677,534,528
835,626,677,534,528
836,626,676,534,528
837,626,676,534,528
838,626,675,535,528
839,626,675,535,528
840,626,675,535,528
841,626,676,535,528
842,626,676,535,528
843,626,676,535,528
844,626,676,535,528
845,626,676,535,528
846,626,677,535,529
847,626,677,535,529
848,626,677,535,529
849,626,677,535,529
850,626,677,535,529
851,626,677,535,529
852,627,677,535,529
853,626,676,535,529
854,626,676,535,529
855,626,677,535,529
856,626,676,536,529
857,626,677,536,529
858,626,678,536,529
859,626,677,535,529
860,627,677,536,529
861,626,677,536,529
862,627,677,536,529
863,627,676,536,529
864,627,677,536,529
865,627,677,536,529
866,627,678,536,529
867,627,677,536,530
868,627,677,536,530
869,627,676,536,529
870,627,677,536,529
871,627,677,536,529
872,627,677,536,530
873,627,678,536,529
874,627,678,536,529
875,627,678,536,530
876,627,678,536,530
877,627,677,536,530
878,627,677,537,530
879,627,678,536,530
880,623,682,529,523
881,612,694,508,501
882,614,689,511,505
883,622,703,519,512
884,626,735,526,519
885,609,736,531,524
886,549,736,535,528
887,533,662,527,521
888,537,653,529,522
889,538,657,529,522
890,540,656,528,522
891,541,653,529,522
892,542,653,529,523
893,542,654,530,523
894,544,656,530,524
895,545,656,530,524
896,545,657,531,524
897,546,658,531,524
898,547,657,532,525
899,547,658,532,525
900,548,661,534,527
901,548,663,533,526
902,541,672,526,520
903,559,696,533,527
904,568,708,536,529
905,570,719,525,519
906,575,725,517,511
907,579,727,520,513
908,581,726,525,518
909,577,722,519,513
910,585,725,522,516
911,587,730,530,523
912,589,733,532,526
913,580,707,532,526
914,559,646,534,527
915,560,651,535,528
916,562,652,533,526
917,563,652,534,527
